first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL
"Gomez, Jimmy - Representative",,,,,,,California,,34,Democratic,House: 2017-Present,https://www.congress.gov/member/jimmy-gomez/G000585
"Gonzales, Tony - Representative",,,,,,,Texas,,23,Republican,House: 2021-Present,https://www.congress.gov/member/tony-gonzales/G000594
"Gonzalez, Vicente - Representative",,,,,,,Texas,,34,Democratic,House: 2017-Present,https://www.congress.gov/member/vicente-gonzalez/G000581
"Gooden, Lance - Representative",,,,,,,Texas,,5,Republican,House: 2019-Present,https://www.congress.gov/member/lance-gooden/G000589
"Goodlander, Maggie - Representative",,,,,,,New Hampshire,,2,Democratic,House: 2025-Present,https://www.congress.gov/member/maggie-goodlander/G000604
"Gosar, Paul A. - Representative",,,,,,,Arizona,,9,Republican,House: 2011-Present,https://www.congress.gov/member/paul-gosar/G000565
"Gottheimer, Josh - Representative",,,,,,,New Jersey,,5,Democratic,House: 2017-Present,https://www.congress.gov/member/josh-gottheimer/G000583
"Graham, Lindsey - Senator",,,,,,,South Carolina,,,Republican,Senate: 2003-Present | House: 1995-2003,https://www.congress.gov/member/lindsey-graham/G000359
"Grassley, Chuck - Senator",,,,,,,Iowa,,,Republican,Senate: 1981-Present | House: 1975-1981,https://www.congress.gov/member/chuck-grassley/G000386
"Graves, Sam - Representative",,,,,,,Missouri,,6,Republican,House: 2001-Present,https://www.congress.gov/member/sam-graves/G000546
"Gray, Adam - Representative",,,,,,,California,,13,Democratic,House: 2025-Present,https://www.congress.gov/member/adam-gray/G000605
"Green, Al - Representative",,,,,,,Texas,,9,Democratic,House: 2005-Present,https://www.congress.gov/member/al-green/G000553
"Green, Mark E. - Representative",,,,,,,Tennessee,,7,Republican,House: 2019-2025,https://www.congress.gov/member/mark-green/G000590
"Greene, Marjorie Taylor - Representative",,,,,,,Georgia,,14,Republican,House: 2021-Present,https://www.congress.gov/member/marjorie-greene/G000596
"Griffith, H. Morgan - Representative",,,,,,,Virginia,,9,Republican,House: 2011-Present,https://www.congress.gov/member/h-griffith/G000568
"Grijalva, Ra�l M. - Representative",,,,,,,Arizona,,7,Democratic,House: 2003-2025,https://www.congress.gov/member/raul-grijalva/G000551
"Grothman, Glenn - Representative",,,,,,,Wisconsin,,6,Republican,House: 2015-Present,https://www.congress.gov/member/glenn-grothman/G000576
"Guest, Michael - Representative",,,,,,,Mississippi,,3,Republican,House: 2019-Present,https://www.congress.gov/member/michael-guest/G000591
"Guthrie, Brett - Representative",,,,,,,Kentucky,,2,Republican,House: 2009-Present,https://www.congress.gov/member/brett-guthrie/G000558
"Hageman, Harriet M. - Representative",,,,,,,Wyoming,,At Large,Republican,House: 2023-Present,https://www.congress.gov/member/harriet-hageman/H001096
"Hagerty, Bill - Senator",,,,,,,Tennessee,,,Republican,Senate: 2021-Present,https://www.congress.gov/member/bill-hagerty/H000601
"Hamadeh, Abraham J. - Representative",,,,,,,Arizona,,8,Republican,House: 2025-Present,https://www.congress.gov/member/abraham-hamadeh/H001098
"Harder, Josh - Representative",,,,,,,California,,9,Democratic,House: 2019-Present,https://www.congress.gov/member/josh-harder/H001090
"Haridopolos, Mike - Representative",,,,,,,Florida,,8,Republican,House: 2025-Present,https://www.congress.gov/member/mike-haridopolos/H001099
"Harrigan, Pat - Representative",,,,,,,North Carolina,,10,Republican,House: 2025-Present,https://www.congress.gov/member/pat-harrigan/H001101
"Harris, Andy - Representative",,,,,,,Maryland,,1,Republican,House: 2011-Present,https://www.congress.gov/member/andy-harris/H001052
"Harris, Mark - Representative",,,,,,,North Carolina,,8,Republican,House: 2025-Present,https://www.congress.gov/member/mark-harris/H001102
"Harshbarger, Diana - Representative",,,,,,,Tennessee,,1,Republican,House: 2021-Present,https://www.congress.gov/member/diana-harshbarger/H001086
"Hassan, Margaret Wood - Senator",,,,,,,New Hampshire,,,Democratic,Senate: 2017-Present,https://www.congress.gov/member/maggie-hassan/H001076
"Hawley, Josh - Senator",,,,,,,Missouri,,,Republican,Senate: 2019-Present,https://www.congress.gov/member/josh-hawley/H001089
"Hayes, Jahana - Representative",,,,,,,Connecticut,,5,Democratic,House: 2019-Present,https://www.congress.gov/member/jahana-hayes/H001081
"Heinrich, Martin - Senator",,,,,,,New Mexico,,,Democratic,Senate: 2013-Present | House: 2009-2013,https://www.congress.gov/member/martin-heinrich/H001046
"Hern, Kevin - Representative",,,,,,,Oklahoma,,1,Republican,House: 2018-Present,https://www.congress.gov/member/kevin-hern/H001082
"Hern�ndez, Pablo Jose - Resident Commissioner",,,,,,,Puerto Rico,,At Large,Democratic,House: 2025-Present,https://www.congress.gov/member/pablo-hernandez/H001103
"Hickenlooper, John W. - Senator",,,,,,,Colorado,,,Democratic,Senate: 2021-Present,https://www.congress.gov/member/john-hickenlooper/H000273
"Higgins, Clay - Representative",,,,,,,Louisiana,,3,Republican,House: 2017-Present,https://www.congress.gov/member/clay-higgins/H001077
"Hill, J. French - Representative",,,,,,,Arkansas,,2,Republican,House: 2015-Present,https://www.congress.gov/member/j-hill/H001072
"Himes, James A. - Representative",,,,,,,Connecticut,,4,Democratic,House: 2009-Present,https://www.congress.gov/member/james-himes/H001047
"Hinson, Ashley - Representative",,,,,,,Iowa,,2,Republican,House: 2021-Present,https://www.congress.gov/member/ashley-hinson/H001091
"Hirono, Mazie K. - Senator",,,,,,,Hawaii,,,Democratic,Senate: 2013-Present | House: 2007-2013,https://www.congress.gov/member/mazie-hirono/H001042
"Hoeven, John - Senator",,,,,,,North Dakota,,,Republican,Senate: 2011-Present,https://www.congress.gov/member/john-hoeven/H001061
"Horsford, Steven - Representative",,,,,,,Nevada,,4,Democratic,"House: 2013-2015, 2019-Present",https://www.congress.gov/member/steven-horsford/H001066
"Houchin, Erin - Representative",,,,,,,Indiana,,9,Republican,House: 2023-Present,https://www.congress.gov/member/erin-houchin/H001093
"Houlahan, Chrissy - Representative",,,,,,,Pennsylvania,,6,Democratic,House: 2019-Present,https://www.congress.gov/member/chrissy-houlahan/H001085
"Hoyer, Steny H. - Representative",,,,,,,Maryland,,5,Democratic,House: 1981-Present,https://www.congress.gov/member/steny-hoyer/H000874
"Hoyle, Val T. - Representative",,,,,,,Oregon,,4,Democratic,House: 2023-Present,https://www.congress.gov/member/val-hoyle/H001094
"Hudson, Richard - Representative",,,,,,,North Carolina,,9,Republican,House: 2013-Present,https://www.congress.gov/member/richard-hudson/H001067
"Huffman, Jared - Representative",,,,,,,California,,2,Democratic,House: 2013-Present,https://www.congress.gov/member/jared-huffman/H001068
"Huizenga, Bill - Representative",,,,,,,Michigan,,4,Republican,House: 2011-Present,https://www.congress.gov/member/bill-huizenga/H001058
"Hunt, Wesley - Representative",,,,,,,Texas,,38,Republican,House: 2023-Present,https://www.congress.gov/member/wesley-hunt/H001095
"Hurd, Jeff - Representative",,,,,,,Colorado,,3,Republican,House: 2025-Present,https://www.congress.gov/member/jeff-hurd/H001100
"Husted, Jon - Senator",,,,,,,Ohio,,,Republican,Senate: 2025-Present,https://www.congress.gov/member/jon-husted/H001104
"Hyde-Smith, Cindy - Senator",,,,,,,Mississippi,,,Republican,Senate: 2018-Present,https://www.congress.gov/member/cindy-hyde-smith/H001079
"Issa, Darrell - Representative",,,,,,,California,,48,Republican,"House: 2001-2019, 2021-Present",https://www.congress.gov/member/darrell-issa/I000056
"Ivey, Glenn - Representative",,,,,,,Maryland,,4,Democratic,House: 2023-Present,https://www.congress.gov/member/glenn-ivey/I000058
"Jack, Brian - Representative",,,,,,,Georgia,,3,Republican,House: 2025-Present,https://www.congress.gov/member/brian-jack/J000311
"Jackson, Jonathan L. - Representative",,,,,,,Illinois,,1,Democratic,House: 2023-Present,https://www.congress.gov/member/jonathan-jackson/J000309
"Jackson, Ronny - Representative",,,,,,,Texas,,13,Republican,House: 2021-Present,https://www.congress.gov/member/ronny-jackson/J000304
"Jacobs, Sara - Representative",,,,,,,California,,51,Democratic,House: 2021-Present,https://www.congress.gov/member/sara-jacobs/J000305
"James, John - Representative",,,,,,,Michigan,,10,Republican,House: 2023-Present,https://www.congress.gov/member/john-james/J000307
"Jayapal, Pramila - Representative",,,,,,,Washington,,7,Democratic,House: 2017-Present,https://www.congress.gov/member/pramila-jayapal/J000298
"Jeffries, Hakeem S. - Representative",,,,,,,New York,,8,Democratic,House: 2013-Present,https://www.congress.gov/member/hakeem-jeffries/J000294
"Johnson, Dusty - Representative",,,,,,,South Dakota,,At Large,Republican,House: 2019-Present,https://www.congress.gov/member/dusty-johnson/J000301
"Johnson, Henry C. ""Hank"" - Representative",,,,,,,Georgia,,4,Democratic,House: 2007-Present,https://www.congress.gov/member/henry-johnson/J000288
"Johnson, Julie - Representative",,,,,,,Texas,,32,Democratic,House: 2025-Present,https://www.congress.gov/member/julie-johnson/J000310
"Johnson, Mike - Representative",,,,,,,Louisiana,,4,Republican,House: 2017-Present,https://www.congress.gov/member/mike-johnson/J000299
"Johnson, Ron - Senator",,,,,,,Wisconsin,,,Republican,Senate: 2011-Present,https://www.congress.gov/member/ron-johnson/J000293
"Jordan, Jim - Representative",,,,,,,Ohio,,4,Republican,House: 2007-Present,https://www.congress.gov/member/jim-jordan/J000289
"Joyce, David P. - Representative",,,,,,,Ohio,,14,Republican,House: 2013-Present,https://www.congress.gov/member/david-joyce/J000295
"Joyce, John - Representative",,,,,,,Pennsylvania,,13,Republican,House: 2019-Present,https://www.congress.gov/member/john-joyce/J000302
"Justice, James C. - Senator",,,,,,,West Virginia,,,Republican,Senate: 2025-Present,https://www.congress.gov/member/james-justice/J000312
"Kaine, Tim - Senator",,,,,,,Virginia,,,Democratic,Senate: 2013-Present,https://www.congress.gov/member/timothy-kaine/K000384
"Kamlager-Dove, Sydney - Representative",,,,,,,California,,37,Democratic,House: 2023-Present,https://www.congress.gov/member/sydney-kamlager-dove/K000400
"Kaptur, Marcy - Representative",,,,,,,Ohio,,9,Democratic,House: 1983-Present,https://www.congress.gov/member/marcy-kaptur/K000009
"Kean, Thomas H. - Representative",,,,,,,New Jersey,,7,Republican,House: 2023-Present,https://www.congress.gov/member/thomas-kean/K000398
"Keating, William R. - Representative",,,,,,,Massachusetts,,9,Democratic,House: 2011-Present,https://www.congress.gov/member/william-keating/K000375
"Kelly, Mark - Senator",,,,,,,Arizona,,,Democratic,Senate: 2020-Present,https://www.congress.gov/member/mark-kelly/K000377
"Kelly, Mike - Representative",,,,,,,Pennsylvania,,16,Republican,House: 2011-Present,https://www.congress.gov/member/mike-kelly/K000376
"Kelly, Robin L. - Representative",,,,,,,Illinois,,2,Democratic,House: 2013-Present,https://www.congress.gov/member/robin-kelly/K000385
"Kelly, Trent - Representative",,,,,,,Mississippi,,1,Republican,House: 2015-Present,https://www.congress.gov/member/trent-kelly/K000388
"Kennedy, John - Senator",,,,,,,Louisiana,,,Republican,Senate: 2017-Present,https://www.congress.gov/member/john-kennedy/K000393
"Kennedy, Mike - Representative",,,,,,,Utah,,3,Republican,House: 2025-Present,https://www.congress.gov/member/mike-kennedy/K000403
"Kennedy, Timothy M. - Representative",,,,,,,New York,,26,Democratic,House: 2024-Present,https://www.congress.gov/member/timothy-kennedy/K000402
"Khanna, Ro - Representative",,,,,,,California,,17,Democratic,House: 2017-Present,https://www.congress.gov/member/ro-khanna/K000389
"Kiggans, Jennifer A. - Representative",,,,,,,Virginia,,2,Republican,House: 2023-Present,https://www.congress.gov/member/jennifer-kiggans/K000399
"Kiley, Kevin - Representative",,,,,,,California,,3,Republican,House: 2023-Present,https://www.congress.gov/member/kevin-kiley/K000401
"Kim, Andy - Senator",,,,,,,New Jersey,,,Democratic,Senate: 2024-Present | House: 2019-2024,https://www.congress.gov/member/andy-kim/K000394
"Kim, Young - Representative",,,,,,,California,,40,Republican,House: 2021-Present,https://www.congress.gov/member/young-kim/K000397
"King, Angus S., Jr. - Senator",,,,,,,Maine,,,Independent,Senate: 2013-Present,https://www.congress.gov/member/angus-king/K000383
"King-Hinds, Kimberlyn - Delegate",,,,,,,Northern Mariana Islands,,At Large,Republican,House: 2025-Present,https://www.congress.gov/member/kimberlyn-king-hinds/K000404
"Klobuchar, Amy - Senator",,,,,,,Minnesota,,,Democratic,Senate: 2007-Present,https://www.congress.gov/member/amy-klobuchar/K000367
"Knott, Brad - Representative",,,,,,,North Carolina,,13,Republican,House: 2025-Present,https://www.congress.gov/member/brad-knott/K000405
"Krishnamoorthi, Raja - Representative",,,,,,,Illinois,,8,Democratic,House: 2017-Present,https://www.congress.gov/member/raja-krishnamoorthi/K000391
"Kustoff, David - Representative",,,,,,,Tennessee,,8,Republican,House: 2017-Present,https://www.congress.gov/member/david-kustoff/K000392
"LaHood, Darin - Representative",,,,,,,Illinois,,16,Republican,House: 2015-Present,https://www.congress.gov/member/darin-lahood/L000585
"LaLota, Nick - Representative",,,,,,,New York,,1,Republican,House: 2023-Present,https://www.congress.gov/member/nick-lalota/L000598
"LaMalfa, Doug - Representative",,,,,,,California,,1,Republican,House: 2013-Present,https://www.congress.gov/member/doug-lamalfa/L000578
"Landsman, Greg - Representative",,,,,,,Ohio,,1,Democratic,House: 2023-Present,https://www.congress.gov/member/greg-landsman/L000601
"Langworthy, Nicholas A. - Representative",,,,,,,New York,,23,Republican,House: 2023-Present,https://www.congress.gov/member/nicholas-langworthy/L000600
"Lankford, James - Senator",,,,,,,Oklahoma,,,Republican,Senate: 2015-Present | House: 2011-2015,https://www.congress.gov/member/james-lankford/L000575
"Larsen, Rick - Representative",,,,,,,Washington,,2,Democratic,House: 2001-Present,https://www.congress.gov/member/rick-larsen/L000560
"Larson, John B. - Representative",,,,,,,Connecticut,,1,Democratic,House: 1999-Present,https://www.congress.gov/member/john-larson/L000557
"Latimer, George - Representative",,,,,,,New York,,16,Democratic,House: 2025-Present,https://www.congress.gov/member/george-latimer/L000606
"Latta, Robert E. - Representative",,,,,,,Ohio,,5,Republican,House: 2007-Present,https://www.congress.gov/member/robert-latta/L000566
"Lawler, Michael - Representative",,,,,,,New York,,17,Republican,House: 2023-Present,https://www.congress.gov/member/michael-lawler/L000599
"Lee, Laurel M. - Representative",,,,,,,Florida,,15,Republican,House: 2023-Present,https://www.congress.gov/member/laurel-lee/L000597
"Lee, Mike - Senator",,,,,,,Utah,,,Republican,Senate: 2011-Present,https://www.congress.gov/member/mike-lee/L000577
"Lee, Summer L. - Representative",,,,,,,Pennsylvania,,12,Democratic,House: 2023-Present,https://www.congress.gov/member/summer-lee/L000602
"Lee, Susie - Representative",,,,,,,Nevada,,3,Democratic,House: 2019-Present,https://www.congress.gov/member/susie-lee/L000590
"Leger Fernandez, Teresa - Representative",,,,,,,New Mexico,,3,Democratic,House: 2021-Present,https://www.congress.gov/member/teresa-leger-fernandez/L000273
"Letlow, Julia - Representative",,,,,,,Louisiana,,5,Republican,House: 2021-Present,https://www.congress.gov/member/julia-letlow/L000595
"Levin, Mike - Representative",,,,,,,California,,49,Democratic,House: 2019-Present,https://www.congress.gov/member/mike-levin/L000593
"Liccardo, Sam T. - Representative",,,,,,,California,,16,Democratic,House: 2025-Present,https://www.congress.gov/member/sam-liccardo/L000607
"Lieu, Ted - Representative",,,,,,,California,,36,Democratic,House: 2015-Present,https://www.congress.gov/member/ted-lieu/L000582
"Lofgren, Zoe - Representative",,,,,,,California,,18,Democratic,House: 1995-Present,https://www.congress.gov/member/zoe-lofgren/L000397
"Loudermilk, Barry - Representative",,,,,,,Georgia,,11,Republican,House: 2015-Present,https://www.congress.gov/member/barry-loudermilk/L000583
"Lucas, Frank D. - Representative",,,,,,,Oklahoma,,3,Republican,House: 1993-Present,https://www.congress.gov/member/frank-lucas/L000491
"Luj�n, Ben Ray - Senator",,,,,,,New Mexico,,,Democratic,Senate: 2021-Present | House: 2009-2021,https://www.congress.gov/member/ben-lujan/L000570
"Lummis, Cynthia M. - Senator",,,,,,,Wyoming,,,Republican,Senate: 2021-Present | House: 2009-2017,https://www.congress.gov/member/cynthia-lummis/L000571
"Luna, Anna Paulina - Representative",,,,,,,Florida,,13,Republican,House: 2023-Present,https://www.congress.gov/member/anna-paulina-luna/L000596
"Luttrell, Morgan - Representative",,,,,,,Texas,,8,Republican,House: 2023-Present,https://www.congress.gov/member/morgan-luttrell/L000603
"Lynch, Stephen F. - Representative",,,,,,,Massachusetts,,8,Democratic,House: 2001-Present,https://www.congress.gov/member/stephen-lynch/L000562
"Mace, Nancy - Representative",,,,,,,South Carolina,,1,Republican,House: 2021-Present,https://www.congress.gov/member/nancy-mace/M000194
"Mackenzie, Ryan - Representative",,,,,,,Pennsylvania,,7,Republican,House: 2025-Present,https://www.congress.gov/member/ryan-mackenzie/M001230
"Magaziner, Seth - Representative",,,,,,,Rhode Island,,2,Democratic,House: 2023-Present,https://www.congress.gov/member/seth-magaziner/M001223
"Malliotakis, Nicole - Representative",,,,,,,New York,,11,Republican,House: 2021-Present,https://www.congress.gov/member/nicole-malliotakis/M000317
"Maloy, Celeste - Representative",,,,,,,Utah,,2,Republican,House: 2023-Present,https://www.congress.gov/member/celeste-maloy/M001228
"Mann, Tracey - Representative",,,,,,,Kansas,,1,Republican,House: 2021-Present,https://www.congress.gov/member/tracey-mann/M000871
"Mannion, John W. - Representative",,,,,,,New York,,22,Democratic,House: 2025-Present,https://www.congress.gov/member/john-mannion/M001231
"Markey, Edward J. - Senator",,,,,,,Massachusetts,,,Democratic,Senate: 2013-Present | House: 1977-2013,https://www.congress.gov/member/edward-markey/M000133
"Marshall, Roger - Senator",,,,,,,Kansas,,,Republican,Senate: 2021-Present | House: 2017-2021,https://www.congress.gov/member/roger-marshall/M001198
"Massie, Thomas - Representative",,,,,,,Kentucky,,4,Republican,House: 2012-Present,https://www.congress.gov/member/thomas-massie/M001184
"Mast, Brian J. - Representative",,,,,,,Florida,,21,Republican,House: 2017-Present,https://www.congress.gov/member/brian-mast/M001199
"Matsui, Doris O. - Representative",,,,,,,California,,7,Democratic,House: 2005-Present,https://www.congress.gov/member/doris-matsui/M001163
"McBath, Lucy - Representative",,,,,,,Georgia,,6,Democratic,House: 2019-Present,https://www.congress.gov/member/lucy-mcbath/M001208
"McBride, Sarah - Representative",,,,,,,Delaware,,At Large,Democratic,House: 2025-Present,https://www.congress.gov/member/sarah-mcbride/M001238
"McCaul, Michael T. - Representative",,,,,,,Texas,,10,Republican,House: 2005-Present,https://www.congress.gov/member/michael-mccaul/M001157
"McClain Delaney, April - Representative",,,,,,,Maryland,,6,Democratic,House: 2025-Present,https://www.congress.gov/member/april-mcclain-delaney/M001232
"McClain, Lisa C. - Representative",,,,,,,Michigan,,9,Republican,House: 2021-Present,https://www.congress.gov/member/lisa-mcclain/M001136
"McClellan, Jennifer L. - Representative",,,,,,,Virginia,,4,Democratic,House: 2023-Present,https://www.congress.gov/member/jennifer-mcclellan/M001227
"McClintock, Tom - Representative",,,,,,,California,,5,Republican,House: 2009-Present,https://www.congress.gov/member/tom-mcclintock/M001177
"McCollum, Betty - Representative",,,,,,,Minnesota,,4,Democratic,House: 2001-Present,https://www.congress.gov/member/betty-mccollum/M001143
"McConnell, Mitch - Senator",,,,,,,Kentucky,,,Republican,Senate: 1985-Present,https://www.congress.gov/member/mitch-mcconnell/M000355
"McCormick, David - Senator",,,,,,,Pennsylvania,,,Republican,Senate: 2025-Present,https://www.congress.gov/member/david-mccormick/M001243
"McCormick, Richard - Representative",,,,,,,Georgia,,7,Republican,House: 2023-Present,https://www.congress.gov/member/richard-mccormick/M001218
"McDonald Rivet, Kristen - Representative",,,,,,,Michigan,,8,Democratic,House: 2025-Present,https://www.congress.gov/member/kristen-mcdonald-rivet/M001237
"McDowell, Addison P. - Representative",,,,,,,North Carolina,,6,Republican,House: 2025-Present,https://www.congress.gov/member/addison-mcdowell/M001240
"McGarvey, Morgan - Representative",,,,,,,Kentucky,,3,Democratic,House: 2023-Present,https://www.congress.gov/member/morgan-mcgarvey/M001220
"McGovern, James P. - Representative",,,,,,,Massachusetts,,2,Democratic,House: 1997-Present,https://www.congress.gov/member/james-mcgovern/M000312
"McGuire, John J. - Representative",,,,,,,Virginia,,5,Republican,House: 2025-Present,https://www.congress.gov/member/john-mcguire/M001239
"McIver, LaMonica - Representative",,,,,,,New Jersey,,10,Democratic,House: 2024-Present,https://www.congress.gov/member/lamonica-mciver/M001229
"Meeks, Gregory W. - Representative",,,,,,,New York,,5,Democratic,House: 1997-Present,https://www.congress.gov/member/gregory-meeks/M001137
"Menendez, Robert - Representative",,,,,,,New Jersey,,8,Democratic,House: 2023-Present,https://www.congress.gov/member/robert-menendez/M001226
"Meng, Grace - Representative",,,,,,,New York,,6,Democratic,House: 2013-Present,https://www.congress.gov/member/grace-meng/M001188
"Merkley, Jeff - Senator",,,,,,,Oregon,,,Democratic,Senate: 2009-Present,https://www.congress.gov/member/jeff-merkley/M001176
"Messmer, Mark B. - Representative",,,,,,,Indiana,,8,Republican,House: 2025-Present,https://www.congress.gov/member/mark-messmer/M001233
"Meuser, Daniel - Representative",,,,,,,Pennsylvania,,9,Republican,House: 2019-Present,https://www.congress.gov/member/daniel-meuser/M001204
"Mfume, Kweisi - Representative",,,,,,,Maryland,,7,Democratic,"House: 1987-1997, 2020-Present",https://www.congress.gov/member/kweisi-mfume/M000687
"Miller, Carol D. - Representative",,,,,,,West Virginia,,1,Republican,House: 2019-Present,https://www.congress.gov/member/carol-miller/M001205
"Miller, Mary E. - Representative",,,,,,,Illinois,,15,Republican,House: 2021-Present,https://www.congress.gov/member/mary-miller/M001211
"Miller, Max L. - Representative",,,,,,,Ohio,,7,Republican,House: 2023-Present,https://www.congress.gov/member/max-miller/M001222
"Miller-Meeks, Mariannette - Representative",,,,,,,Iowa,,1,Republican,House: 2021-Present,https://www.congress.gov/member/mariannette-miller-meeks/M001215
"Mills, Cory - Representative",,,,,,,Florida,,7,Republican,House: 2023-Present,https://www.congress.gov/member/cory-mills/M001216
"Min, Dave - Representative",,,,,,,California,,47,Democratic,House: 2025-Present,https://www.congress.gov/member/dave-min/M001241
"Moody, Ashley - Senator",,,,,,,Florida,,,Republican,Senate: 2025-Present,https://www.congress.gov/member/ashley-moody/M001244
"Moolenaar, John R. - Representative",,,,,,,Michigan,,2,Republican,House: 2015-Present,https://www.congress.gov/member/john-moolenaar/M001194
"Moore, Barry - Representative",,,,,,,Alabama,,1,Republican,House: 2021-Present,https://www.congress.gov/member/barry-moore/M001212
"Moore, Blake D. - Representative",,,,,,,Utah,,1,Republican,House: 2021-Present,https://www.congress.gov/member/blake-moore/M001213
"Moore, Gwen - Representative",,,,,,,Wisconsin,,4,Democratic,House: 2005-Present,https://www.congress.gov/member/gwen-moore/M001160
"Moore, Riley M. - Representative",,,,,,,West Virginia,,2,Republican,House: 2025-Present,https://www.congress.gov/member/riley-moore/M001235
"Moore, Tim - Representative",,,,,,,North Carolina,,14,Republican,House: 2025-Present,https://www.congress.gov/member/tim-moore/M001236
"Moran, Jerry - Senator",,,,,,,Kansas,,,Republican,Senate: 2011-Present | House: 1997-2011,https://www.congress.gov/member/jerry-moran/M000934
"Moran, Nathaniel - Representative",,,,,,,Texas,,1,Republican,House: 2023-Present,https://www.congress.gov/member/nathaniel-moran/M001224
"Morelle, Joseph D. - Representative",,,,,,,New York,,25,Democratic,House: 2018-Present,https://www.congress.gov/member/joseph-morelle/M001206
"Moreno, Bernie - Senator",,,,,,,Ohio,,,Republican,Senate: 2025-Present,https://www.congress.gov/member/bernie-moreno/M001242
"Morrison, Kelly - Representative",,,,,,,Minnesota,,3,Democratic,House: 2025-Present,https://www.congress.gov/member/kelly-morrison/M001234
"Moskowitz, Jared - Representative",,,,,,,Florida,,23,Democratic,House: 2023-Present,https://www.congress.gov/member/jared-moskowitz/M001217
"Moulton, Seth - Representative",,,,,,,Massachusetts,,6,Democratic,House: 2015-Present,https://www.congress.gov/member/seth-moulton/M001196
"Moylan, James C. - Delegate",,,,,,,Guam,,At Large,Republican,House: 2023-Present,https://www.congress.gov/member/james-moylan/M001219
"Mrvan, Frank J. - Representative",,,,,,,Indiana,,1,Democratic,House: 2021-Present,https://www.congress.gov/member/frank-mrvan/M001214
"Mullin, Kevin - Representative",,,,,,,California,,15,Democratic,House: 2023-Present,https://www.congress.gov/member/kevin-mullin/M001225
"Mullin, Markwayne - Senator",,,,,,,Oklahoma,,,Republican,Senate: 2023-Present | House: 2013-2023,https://www.congress.gov/member/markwayne-mullin/M001190
