bioguide_id,first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL,name_slug
A000370,Alma,S.,,Adams,,Representative,house,North Carolina,NC,12,Democratic,House: 2014-Present,https://www.congress.gov/member/alma-adams/A000370,alma-adams
A000055,Robert,B.,,Aderholt,,Representative,house,Alabama,AL,4,Republican,House: 1997-Present,https://www.congress.gov/member/robert-aderholt/A000055,robert-aderholt
A000371,Pete,,,Aguilar,,Representative,house,California,CA,33,Democratic,House: 2015-Present,https://www.congress.gov/member/pete-aguilar/A000371,pete-aguilar
A000379,Mark,,,Alford,,Representative,house,Missouri,MO,4,Republican,House: 2023-Present,https://www.congress.gov/member/mark-alford/A000379,mark-alford
A000372,Rick,W.,,Allen,,Representative,house,Georgia,GA,12,Republican,House: 2015-Present,https://www.congress.gov/member/rick-allen/A000372,rick-allen
A000382,Angela,D.,,Alsobrooks,,Senator,senate,Maryland,MD,,Democratic,Senate: 2025-Present,https://www.congress.gov/member/angela-alsobrooks/A000382,angela-alsobrooks
A000380,Gabe,,,Amo,,Representative,house,Rhode Island,RI,1,Democratic,House: 2023-Present,https://www.congress.gov/member/gabe-amo/A000380,gabe-amo
A000369,Mark,E.,,Amodei,,Representative,house,Nevada,NV,2,Republican,House: 2011-Present,https://www.congress.gov/member/mark-amodei/A000369,mark-amodei
A000381,Yassamin,,,Ansari,,Representative,house,Arizona,AZ,3,Democratic,House: 2025-Present,https://www.congress.gov/member/yassamin-ansari/A000381,yassamin-ansari
A000375,Jodey,C.,,Arrington,,Representative,house,Texas,TX,19,Republican,House: 2017-Present,https://www.congress.gov/member/jodey-arrington/A000375,jodey-arrington
A000148,Jake,,,Auchincloss,,Representative,house,Massachusetts,MA,4,Democratic,House: 2021-Present,https://www.congress.gov/member/jake-auchincloss/A000148,jake-auchincloss
B001291,Brian,,,Babin,,Representative,house,Texas,TX,36,Republican,House: 2015-Present,https://www.congress.gov/member/brian-babin/B001291,brian-babin
B001298,Don,,,Bacon,,Representative,house,Nebraska,NE,2,Republican,House: 2017-Present,https://www.congress.gov/member/don-bacon/B001298,don-bacon
B001307,James,R.,,Baird,,Representative,house,Indiana,IN,4,Republican,House: 2019-Present,https://www.congress.gov/member/james-baird/B001307,james-baird
B001306,Troy,,,Balderson,,Representative,house,Ohio,OH,12,Republican,House: 2018-Present,https://www.congress.gov/member/troy-balderson/B001306,troy-balderson
B001230,Tammy,,,Baldwin,,Senator,senate,Wisconsin,WI,,Democratic,Senate: 2013-Present | House: 1999-2013,https://www.congress.gov/member/tammy-baldwin/B001230,tammy-baldwin
B001318,Becca,,,Balint,,Representative,house,Vermont,VT,At Large,Democratic,House: 2023-Present,https://www.congress.gov/member/becca-balint/B001318,becca-balint
B001299,Jim,,,Banks,,Senator,senate,Indiana,IN,,Republican,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/jim-banks/B001299,jim-banks
B001282,Andy,,,Barr,,Representative,house,Kentucky,KY,6,Republican,House: 2013-Present,https://www.congress.gov/member/andy-barr/B001282,andy-barr
B001300,Nanette,Diaz,,Barrag�n,,Representative,house,California,CA,44,Democratic,House: 2017-Present,https://www.congress.gov/member/nanette-barragan/B001300,nanette-barragan
B001261,John,,,Barrasso,,Senator,senate,Wyoming,WY,,Republican,Senate: 2007-Present,https://www.congress.gov/member/john-barrasso/B001261,john-barrasso
B001321,Tom,,,Barrett,,Representative,house,Michigan,MI,7,Republican,House: 2025-Present,https://www.congress.gov/member/tom-barrett/B001321,tom-barrett
B001322,Michael,,,Baumgartner,,Representative,house,Washington,WA,5,Republican,House: 2025-Present,https://www.congress.gov/member/michael-baumgartner/B001322,michael-baumgartner
B001314,Aaron,,,Bean,,Representative,house,Florida,FL,4,Republican,House: 2023-Present,https://www.congress.gov/member/aaron-bean/B001314,aaron-bean
B001281,Joyce,,,Beatty,,Representative,house,Ohio,OH,3,Democratic,House: 2013-Present,https://www.congress.gov/member/joyce-beatty/B001281,joyce-beatty
B001323,Nicholas,J.,,Begich,,Representative,house,Alaska,AK,At Large,Republican,House: 2025-Present,https://www.congress.gov/member/nicholas-begich/B001323,nicholas-begich
B001324,Wesley,,,Bell,,Representative,house,Missouri,MO,1,Democratic,House: 2025-Present,https://www.congress.gov/member/wesley-bell/B001324,wesley-bell
B001267,Michael,F.,,Bennet,,Senator,senate,Colorado,CO,,Democratic,Senate: 2009-Present,https://www.congress.gov/member/michael-bennet/B001267,michael-bennet
B000668,Cliff,,,Bentz,,Representative,house,Oregon,OR,2,Republican,House: 2021-Present,https://www.congress.gov/member/cliff-bentz/B000668,cliff-bentz
B001287,Ami,,,Bera,,Representative,house,California,CA,6,Democratic,House: 2013-Present,https://www.congress.gov/member/ami-bera/B001287,ami-bera
B001301,Jack,,,Bergman,,Representative,house,Michigan,MI,1,Republican,House: 2017-Present,https://www.congress.gov/member/jack-bergman/B001301,jack-bergman
B001292,Donald,S.,,Beyer,,Representative,house,Virginia,VA,8,Democratic,House: 2015-Present,https://www.congress.gov/member/donald-beyer/B001292,donald-beyer
B000740,Stephanie,I.,,Bice,,Representative,house,Oklahoma,OK,5,Republican,House: 2021-Present,https://www.congress.gov/member/stephanie-bice/B000740,stephanie-bice
B001302,Andy,,,Biggs,,Representative,house,Arizona,AZ,5,Republican,House: 2017-Present,https://www.congress.gov/member/andy-biggs/B001302,andy-biggs
B001325,Sheri,,,Biggs,,Representative,house,South Carolina,SC,3,Republican,House: 2025-Present,https://www.congress.gov/member/sheri-biggs/B001325,sheri-biggs
B001257,Gus,M.,,Bilirakis,,Representative,house,Florida,FL,12,Republican,House: 2007-Present,https://www.congress.gov/member/gus-bilirakis/B001257,gus-bilirakis
B000490,Sanford,D.,,Bishop,,Representative,house,Georgia,GA,2,Democratic,House: 1993-Present,https://www.congress.gov/member/sanford-bishop/B000490,sanford-bishop
B001243,Marsha,,,Blackburn,,Senator,senate,Tennessee,TN,,Republican,Senate: 2019-Present | House: 2003-2019,https://www.congress.gov/member/marsha-blackburn/B001243,marsha-blackburn
B001277,Richard,,,Blumenthal,,Senator,senate,Connecticut,CT,,Democratic,Senate: 2011-Present,https://www.congress.gov/member/richard-blumenthal/B001277,richard-blumenthal
B001303,Lisa,,,Blunt Rochester,,Senator,senate,Delaware,DE,,Democratic,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/lisa-blunt-rochester/B001303,lisa-blunt-rochester
B000825,Lauren,,,Boebert,,Representative,house,Colorado,CO,4,Republican,House: 2021-Present,https://www.congress.gov/member/lauren-boebert/B000825,lauren-boebert
B001278,Suzanne,,,Bonamici,,Representative,house,Oregon,OR,1,Democratic,House: 2012-Present,https://www.congress.gov/member/suzanne-bonamici/B001278,suzanne-bonamici
B001288,Cory,A.,,Booker,,Senator,senate,New Jersey,NJ,,Democratic,Senate: 2013-Present,https://www.congress.gov/member/cory-booker/B001288,cory-booker
B001236,John,,,Boozman,,Senator,senate,Arkansas,AR,,Republican,Senate: 2011-Present | House: 2001-2011,https://www.congress.gov/member/john-boozman/B001236,john-boozman
B001295,Mike,,,Bost,,Representative,house,Illinois,IL,12,Republican,House: 2015-Present,https://www.congress.gov/member/mike-bost/B001295,mike-bost
B001296,Brendan,F.,,Boyle,,Representative,house,Pennsylvania,PA,2,Democratic,House: 2015-Present,https://www.congress.gov/member/brendan-boyle/B001296,brendan-boyle
B001317,Josh,,,Brecheen,,Representative,house,Oklahoma,OK,2,Republican,House: 2023-Present,https://www.congress.gov/member/josh-brecheen/B001317,josh-brecheen
B001327,Robert,P.,,Bresnahan,,Representative,house,Pennsylvania,PA,8,Republican,House: 2025-Present,https://www.congress.gov/member/robert-bresnahan/B001327,robert-bresnahan
B001319,Katie,Boyd,,Britt,,Senator,senate,Alabama,AL,,Republican,Senate: 2023-Present,https://www.congress.gov/member/katie-britt/B001319,katie-britt
B001313,Shontel,M.,,Brown,,Representative,house,Ohio,OH,11,Democratic,House: 2021-Present,https://www.congress.gov/member/shontel-brown/B001313,shontel-brown
B001285,Julia,,,Brownley,,Representative,house,California,CA,26,Democratic,House: 2013-Present,https://www.congress.gov/member/julia-brownley/B001285,julia-brownley
B001260,Vern,,,Buchanan,,Representative,house,Florida,FL,16,Republican,House: 2007-Present,https://www.congress.gov/member/vern-buchanan/B001260,vern-buchanan
B001305,Ted,,,Budd,,Senator,senate,North Carolina,NC,,Republican,Senate: 2023-Present | House: 2017-2023,https://www.congress.gov/member/ted-budd/B001305,ted-budd
B001315,Nikki,,,Budzinski,,Representative,house,Illinois,IL,13,Democratic,House: 2023-Present,https://www.congress.gov/member/nikki-budzinski/B001315,nikki-budzinski
B001309,Tim,,,Burchett,,Representative,house,Tennessee,TN,2,Republican,House: 2019-Present,https://www.congress.gov/member/tim-burchett/B001309,tim-burchett
B001316,Eric,,,Burlison,,Representative,house,Missouri,MO,7,Republican,House: 2023-Present,https://www.congress.gov/member/eric-burlison/B001316,eric-burlison
B001326,Janelle,S.,,Bynum,,Representative,house,Oregon,OR,5,Democratic,House: 2025-Present,https://www.congress.gov/member/janelle-bynum/B001326,janelle-bynum
C000059,Ken,,,Calvert,,Representative,house,California,CA,41,Republican,House: 1993-Present,https://www.congress.gov/member/ken-calvert/C000059,ken-calvert
C001039,Kat,,,Cammack,,Representative,house,Florida,FL,3,Republican,House: 2021-Present,https://www.congress.gov/member/kat-cammack/C001039,kat-cammack
C000127,Maria,,,Cantwell,,Senator,senate,Washington,WA,,Democratic,Senate: 2001-Present | House: 1993-1995,https://www.congress.gov/member/maria-cantwell/C000127,maria-cantwell
C001047,Shelley,Moore,,Capito,,Senator,senate,West Virginia,WV,,Republican,Senate: 2015-Present | House: 2001-2015,https://www.congress.gov/member/shelley-capito/C001047,shelley-capito
C001112,Salud,O.,,Carbajal,,Representative,house,California,CA,24,Democratic,House: 2017-Present,https://www.congress.gov/member/salud-carbajal/C001112,salud-carbajal
C001126,Mike,,,Carey,,Representative,house,Ohio,OH,15,Republican,House: 2021-Present,https://www.congress.gov/member/mike-carey/C001126,mike-carey
C001072,Andr�,,,Carson,,Representative,house,Indiana,IN,7,Democratic,House: 2008-Present,https://www.congress.gov/member/andre-carson/C001072,andre-carson
C001103,Earl,L.,Buddy,Carter,,Representative,house,Georgia,GA,1,Republican,House: 2015-Present,https://www.congress.gov/member/earl-carter/C001103,earl-carter
C001051,John,R.,,Carter,,Representative,house,Texas,TX,31,Republican,House: 2003-Present,https://www.congress.gov/member/john-carter/C001051,john-carter
C001125,Troy,A.,,Carter,,Representative,house,Louisiana,LA,2,Democratic,House: 2021-Present,https://www.congress.gov/member/troy-carter/C001125,troy-carter
C001131,Greg,,,Casar,,Representative,house,Texas,TX,35,Democratic,House: 2023-Present,https://www.congress.gov/member/greg-casar/C001131,greg-casar
C001055,Ed,,,Case,,Representative,house,Hawaii,HI,1,Democratic,"House: 2002-2007, 2019-Present",https://www.congress.gov/member/ed-case/C001055,ed-case
C001075,Bill,,,Cassidy,,Senator,senate,Louisiana,LA,,Republican,Senate: 2015-Present | House: 2009-2015,https://www.congress.gov/member/bill-cassidy/C001075,bill-cassidy
C001117,Sean,,,Casten,,Representative,house,Illinois,IL,6,Democratic,House: 2019-Present,https://www.congress.gov/member/sean-casten/C001117,sean-casten
C001066,Kathy,,,Castor,,Representative,house,Florida,FL,14,Democratic,House: 2007-Present,https://www.congress.gov/member/kathy-castor/C001066,kathy-castor
C001091,Joaquin,,,Castro,,Representative,house,Texas,TX,20,Democratic,House: 2013-Present,https://www.congress.gov/member/joaquin-castro/C001091,joaquin-castro
C001127,Sheila,,,Cherfilus-McCormick,,Representative,house,Florida,FL,20,Democratic,House: 2022-Present,https://www.congress.gov/member/sheila-cherfilus-mccormick/C001127,sheila-cherfilus-mccormick
C001080,Judy,,,Chu,,Representative,house,California,CA,28,Democratic,House: 2009-Present,https://www.congress.gov/member/judy-chu/C001080,judy-chu
C001133,Juan,,,Ciscomani,,Representative,house,Arizona,AZ,6,Republican,House: 2023-Present,https://www.congress.gov/member/juan-ciscomani/C001133,juan-ciscomani
C001123,Gilbert,Ray,,Cisneros,,Representative,house,California,CA,31,Democratic,"House: 2019-2021, 2025-Present",https://www.congress.gov/member/gilbert-cisneros/C001123,gilbert-cisneros
C001101,Katherine,M.,,Clark,,Representative,house,Massachusetts,MA,5,Democratic,House: 2013-Present,https://www.congress.gov/member/katherine-clark/C001101,katherine-clark
C001067,Yvette,D.,,Clarke,,Representative,house,New York,NY,9,Democratic,House: 2007-Present,https://www.congress.gov/member/yvette-clarke/C001067,yvette-clarke
C001061,Emanuel,,,Cleaver,,Representative,house,Missouri,MO,5,Democratic,House: 2005-Present,https://www.congress.gov/member/emanuel-cleaver/C001061,emanuel-cleaver
C001118,Ben,,,Cline,,Representative,house,Virginia,VA,6,Republican,House: 2019-Present,https://www.congress.gov/member/ben-cline/C001118,ben-cline
C001115,Michael,,,Cloud,,Representative,house,Texas,TX,27,Republican,House: 2018-Present,https://www.congress.gov/member/michael-cloud/C001115,michael-cloud
C000537,James,E.,,Clyburn,,Representative,house,South Carolina,SC,6,Democratic,House: 1993-Present,https://www.congress.gov/member/james-clyburn/C000537,james-clyburn
C001116,Andrew,S.,,Clyde,,Representative,house,Georgia,GA,9,Republican,House: 2021-Present,https://www.congress.gov/member/andrew-clyde/C001116,andrew-clyde
C001068,Steve,,,Cohen,,Representative,house,Tennessee,TN,9,Democratic,House: 2007-Present,https://www.congress.gov/member/steve-cohen/C001068,steve-cohen
C001053,Tom,,,Cole,,Representative,house,Oklahoma,OK,4,Republican,House: 2003-Present,https://www.congress.gov/member/tom-cole/C001053,tom-cole
C001129,Mike,,,Collins,,Representative,house,Georgia,GA,10,Republican,House: 2023-Present,https://www.congress.gov/member/mike-collins/C001129,mike-collins
C001035,Susan,M.,,Collins,,Senator,senate,Maine,ME,,Republican,Senate: 1997-Present,https://www.congress.gov/member/susan-collins/C001035,susan-collins
C001108,James,,,Comer,,Representative,house,Kentucky,KY,1,Republican,House: 2016-Present,https://www.congress.gov/member/james-comer/C001108,james-comer
C001136,Herbert,C.,,Conaway,,Representative,house,New Jersey,NJ,3,Democratic,House: 2025-Present,https://www.congress.gov/member/herbert-conaway/C001136,herbert-conaway
C001078,Gerald,E.,,Connolly,,Representative,house,Virginia,VA,11,Democratic,House: 2009-2025,https://www.congress.gov/member/gerald-connolly/C001078,gerald-connolly
C001088,Christopher,A.,,Coons,,Senator,senate,Delaware,DE,,Democratic,Senate: 2010-Present,https://www.congress.gov/member/christopher-coons/C001088,christopher-coons
C001056,John,,,Cornyn,,Senator,senate,Texas,TX,,Republican,Senate: 2002-Present,https://www.congress.gov/member/john-cornyn/C001056,john-cornyn
C001110,J.,Luis,,Correa,,Representative,house,California,CA,46,Democratic,House: 2017-Present,https://www.congress.gov/member/j-correa/C001110,j-correa
C001113,Catherine,,,Cortez Masto,,Senator,senate,Nevada,NV,,Democratic,Senate: 2017-Present,https://www.congress.gov/member/catherine-cortez-masto/C001113,catherine-cortez-masto
C001059,Jim,,,Costa,,Representative,house,California,CA,21,Democratic,House: 2005-Present,https://www.congress.gov/member/jim-costa/C001059,jim-costa
C001095,Tom,,,Cotton,,Senator,senate,Arkansas,AR,,Republican,Senate: 2015-Present | House: 2013-2015,https://www.congress.gov/member/tom-cotton/C001095,tom-cotton
C001069,Joe,,,Courtney,,Representative,house,Connecticut,CT,2,Democratic,House: 2007-Present,https://www.congress.gov/member/joe-courtney/C001069,joe-courtney
C001119,Angie,,,Craig,,Representative,house,Minnesota,MN,2,Democratic,House: 2019-Present,https://www.congress.gov/member/angie-craig/C001119,angie-craig
C001096,Kevin,,,Cramer,,Senator,senate,North Dakota,ND,,Republican,Senate: 2019-Present | House: 2013-2019,https://www.congress.gov/member/kevin-cramer/C001096,kevin-cramer
C001132,Elijah,,,Crane,,Representative,house,Arizona,AZ,2,Republican,House: 2023-Present,https://www.congress.gov/member/elijah-crane/C001132,elijah-crane
C001137,Jeff,,,Crank,,Representative,house,Colorado,CO,5,Republican,House: 2025-Present,https://www.congress.gov/member/jeff-crank/C001137,jeff-crank
C000880,Mike,,,Crapo,,Senator,senate,Idaho,ID,,Republican,Senate: 1999-Present | House: 1993-1999,https://www.congress.gov/member/mike-crapo/C000880,mike-crapo
C001087,Eric,A.,Rick,Crawford,,Representative,house,Arkansas,AR,1,Republican,House: 2011-Present,https://www.congress.gov/member/eric-crawford/C001087,eric-crawford
C001120,Dan,,,Crenshaw,,Representative,house,Texas,TX,2,Republican,House: 2019-Present,https://www.congress.gov/member/dan-crenshaw/C001120,dan-crenshaw
C001130,Jasmine,,,Crockett,,Representative,house,Texas,TX,30,Democratic,House: 2023-Present,https://www.congress.gov/member/jasmine-crockett/C001130,jasmine-crockett
C001121,Jason,,,Crow,,Representative,house,Colorado,CO,6,Democratic,House: 2019-Present,https://www.congress.gov/member/jason-crow/C001121,jason-crow
C001098,Ted,,,Cruz,,Senator,senate,Texas,TX,,Republican,Senate: 2013-Present,https://www.congress.gov/member/ted-cruz/C001098,ted-cruz
C001063,Henry,,,Cuellar,,Representative,house,Texas,TX,28,Democratic,House: 2005-Present,https://www.congress.gov/member/henry-cuellar/C001063,henry-cuellar
C001114,John,R.,,Curtis,,Senator,senate,Utah,UT,,Republican,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/john-curtis/C001114,john-curtis
D000618,Steve,,,Daines,,Senator,senate,Montana,MT,,Republican,Senate: 2015-Present | House: 2013-2015,https://www.congress.gov/member/steve-daines/D000618,steve-daines
D000629,Sharice,,,Davids,,Representative,house,Kansas,KS,3,Democratic,House: 2019-Present,https://www.congress.gov/member/sharice-davids/D000629,sharice-davids
D000626,Warren,,,Davidson,,Representative,house,Ohio,OH,8,Republican,House: 2016-Present,https://www.congress.gov/member/warren-davidson/D000626,warren-davidson
D000096,Danny,K.,,Davis,,Representative,house,Illinois,IL,7,Democratic,House: 1997-Present,https://www.congress.gov/member/danny-davis/D000096,danny-davis
D000230,Donald,G.,,Davis,,Representative,house,North Carolina,NC,1,Democratic,House: 2023-Present,https://www.congress.gov/member/donald-davis/D000230,donald-davis
D000594,Monica,,,De La Cruz,,Representative,house,Texas,TX,15,Republican,House: 2023-Present,https://www.congress.gov/member/monica-de-la-cruz/D000594,monica-de-la-cruz
D000631,Madeleine,,,Dean,,Representative,house,Pennsylvania,PA,4,Democratic,House: 2019-Present,https://www.congress.gov/member/madeleine-dean/D000631,madeleine-dean
D000197,Diana,,,DeGette,,Representative,house,Colorado,CO,1,Democratic,House: 1997-Present,https://www.congress.gov/member/diana-degette/D000197,diana-degette
D000216,Rosa,L.,,DeLauro,,Representative,house,Connecticut,CT,3,Democratic,House: 1991-Present,https://www.congress.gov/member/rosa-delauro/D000216,rosa-delauro
D000617,Suzan,K.,,DelBene,,Representative,house,Washington,WA,1,Democratic,House: 2012-Present,https://www.congress.gov/member/suzan-delbene/D000617,suzan-delbene
D000530,Christopher,R.,,Deluzio,,Representative,house,Pennsylvania,PA,17,Democratic,House: 2023-Present,https://www.congress.gov/member/christopher-deluzio/D000530,christopher-deluzio
D000623,Mark,,,DeSaulnier,,Representative,house,California,CA,10,Democratic,House: 2015-Present,https://www.congress.gov/member/mark-desaulnier/D000623,mark-desaulnier
D000616,Scott,,,DesJarlais,,Representative,house,Tennessee,TN,4,Republican,House: 2011-Present,https://www.congress.gov/member/scott-desjarlais/D000616,scott-desjarlais
D000635,Maxine,,,Dexter,,Representative,house,Oregon,OR,3,Democratic,House: 2025-Present,https://www.congress.gov/member/maxine-dexter/D000635,maxine-dexter
D000600,Mario,,,Diaz-Balart,,Representative,house,Florida,FL,26,Republican,House: 2003-Present,https://www.congress.gov/member/mario-diaz-balart/D000600,mario-diaz-balart
D000624,Debbie,,,Dingell,,Representative,house,Michigan,MI,6,Democratic,House: 2015-Present,https://www.congress.gov/member/debbie-dingell/D000624,debbie-dingell
D000399,Lloyd,,,Doggett,,Representative,house,Texas,TX,37,Democratic,House: 1995-Present,https://www.congress.gov/member/lloyd-doggett/D000399,lloyd-doggett
D000032,Byron,,,Donalds,,Representative,house,Florida,FL,19,Republican,House: 2021-Present,https://www.congress.gov/member/byron-donalds/D000032,byron-donalds
D000634,Troy,,,Downing,,Representative,house,Montana,MT,2,Republican,House: 2025-Present,https://www.congress.gov/member/troy-downing/D000634,troy-downing
D000622,Tammy,,,Duckworth,,Senator,senate,Illinois,IL,,Democratic,Senate: 2017-Present | House: 2013-2017,https://www.congress.gov/member/tammy-duckworth/D000622,tammy-duckworth
D000628,Neal,P.,,Dunn,,Representative,house,Florida,FL,2,Republican,House: 2017-Present,https://www.congress.gov/member/neal-dunn/D000628,neal-dunn
D000563,Richard,J.,,Durbin,,Senator,senate,Illinois,IL,,Democratic,Senate: 1997-Present | House: 1983-1997,https://www.congress.gov/member/richard-durbin/D000563,richard-durbin
E000246,Chuck,,,Edwards,,Representative,house,North Carolina,NC,11,Republican,House: 2023-Present,https://www.congress.gov/member/chuck-edwards/E000246,chuck-edwards
E000301,Sarah,,,Elfreth,,Representative,house,Maryland,MD,3,Democratic,House: 2025-Present,https://www.congress.gov/member/sarah-elfreth/E000301,sarah-elfreth
E000071,Jake,,,Ellzey,,Representative,house,Texas,TX,6,Republican,House: 2021-Present,https://www.congress.gov/member/jake-ellzey/E000071,jake-ellzey
E000294,Tom,,,Emmer,,Representative,house,Minnesota,MN,6,Republican,House: 2015-Present,https://www.congress.gov/member/tom-emmer/E000294,tom-emmer
