first_name,last_name,middle_name,nick_name,bioguide_id,birth_year,death_year,position,state,party,congress_number,election_date
Kimberlyn,King-Hinds,,,K000404,1975,,Delegate,MP,Republican,119,
Amy,Klobuchar,,,K000367,1960,,Senator,MN,Democrat,119,
Brad,Knott,,,K000405,1986,,Representative,NC,Republican,119,
S.,Krishnamoorthi,Raja,,K000391,1973,,Representative,IL,Democrat,119,
David,Kustoff,,,K000392,1966,,Representative,TN,Republican,119,2024-11-05
Nicholas,LaLota,,,L000598,1978,,Representative,NY,Republican,119,
Darin,Lahood,,,L000585,1968,,Representative,IL,Republican,119,
Doug,Lamalfa,,,L000578,1960,,Representative,CA,Republican,119,
Greg,Landsman,,,L000601,1976,,Representative,OH,Democrat,119,
Nicholas,Langworthy,A.,,L000600,1981,,Representative,NY,Republican,119,
James,Lankford,,,L000575,1968,,Senator,OK,Republican,119,
Richard,Larsen,Ray,Rick,L000560,1965,,Representative,WA,Democrat,119,2024-11-05
John,Larson,B.,,L000557,1948,,Representative,CT,Democrat,119,
George,Latimer,,,L000606,1953,,Representative,NY,Democrat,119,
Robert,Latta,E.,,L000566,1956,,Representative,OH,Republican,119,
Michael,Lawler,,,L000599,1986,,Representative,NY,Republican,119,
Laurel,Lee,,,L000597,1974,,Representative,FL,Republican,119,
Mike,Lee,,,L000577,1971,,Senator,UT,Republican,119,
Summer,Lee,,,L000602,1987,,Representative,PA,Democrat,119,
Susie,Lee,,,L000590,1966,,Representative,NV,Democrat,119,2024-11-05
Teresa,Leger Fernandez,,,L000273,1959,,Representative,NM,Democrat,119,
Julia,Letlow,,,L000595,1981,,Representative,LA,Republican,119,
Mike,Levin,,,L000593,1978,,Representative,CA,Democrat,119,
Sam,Liccardo,T.,,L000607,1970,,Representative,CA,Democrat,119,
Ted,Lieu,,,L000582,1969,,Representative,CA,Democrat,119,
Zoe,Lofgren,,,L000397,1947,,Representative,CA,Democrat,119,
Barry,Loudermilk,D.,,L000583,1963,,Representative,GA,Republican,119,
Frank,Lucas,D.,,L000491,1960,,Representative,OK,Republican,119,
Ben,Lujan,Ray,,L000570,1972,,Senator,NM,Democrat,119,
Cynthia,Lummis,M.,,L000571,1954,,Senator,WY,Republican,119,
Anna,Luna,,,L000596,1989,,Representative,FL,Republican,119,
Morgan,Luttrell,,,L000603,1975,,Representative,TX,Republican,119,2024-11-05
Stephen,Lynch,F.,,L000562,1955,,Representative,MA,Democrat,119,
Nancy,Mace,,,M000194,1977,,Representative,SC,Republican,119,
Ryan,Mackenzie,,,M001230,1982,,Representative,PA,Republican,119,
Seth,Magaziner,,,M001223,1983,,Representative,RI,Democrat,119,
Nicole,Malliotakis,,,M000317,1980,,Representative,NY,Republican,119,
Celeste,Maloy,,,M001228,1981,,Representative,UT,Republican,119,2024-11-05
Tracey,Mann,,,M000871,1976,,Representative,KS,Republican,119,
John,Mannion,W.,,M001231,1968,,Representative,NY,Democrat,119,
Edward,Markey,John,,M000133,1946,,Senator,MA,Democrat,119,
Roger,Marshall,Wayne,,M001198,1960,,Senator,KS,Republican,119,
Thomas,Massie,,,M001184,1971,,Representative,KY,Republican,119,
Brian,Mast,Jeffrey,,M001199,1980,,Representative,FL,Republican,119,
Doris,Matsui,,,M001163,1944,,Representative,CA,Democrat,119,
Sarah,McBride,,,M001238,1990,,Representative,DE,Democrat,119,
Michael,McCaul,T.,,M001157,1962,,Representative,TX,Republican,119,2024-11-05
Lisa,McClain,C.,,M001136,1966,,Representative,MI,Republican,119,2024-11-05
April,McClain Delaney,,,M001232,1964,,Representative,MD,Democrat,119,
Jennifer,McClellan,,,M001227,1972,,Representative,VA,Democrat,119,
Tom,McClintock,,,M001177,1956,,Representative,CA,Republican,119,
Betty,McCollum,,,M001143,1954,,Representative,MN,Democrat,119,
Addison,McConnell,Mitchell,Mitch,M000355,1942,,Senator,KY,Republican,119,
David,McCormick,Harold,,M001243,1965,,Senator,PA,Republican,119,
Rich,McCormick,,,M001218,1968,,Representative,GA,Republican,119,
Kristen,McDonald Rivet,,,M001237,1970,,Representative,MI,Democrat,119,2024-11-05
Addison,McDowell,P.,,M001240,1994,,Representative,NC,Republican,119,
Morgan,McGarvey,,,M001220,1979,,Representative,KY,Democrat,119,
James,McGovern,P.,,M000312,1959,,Representative,MA,Democrat,119,
John,McGuire,J.,,M001239,1968,,Representative,VA,Republican,119,
LaMonica,McIver,,,M001229,1986,,Representative,NJ,Democrat,119,2024-11-05
Lucy,Mcbath,,,M001208,1960,,Representative,GA,Democrat,119,
Gregory,Meeks,W.,,M001137,1953,,Representative,NY,Democrat,119,
Robert,Menendez,,,M001226,1985,,Representative,NJ,Democrat,119,2024-11-05
Grace,Meng,,,M001188,1975,,Representative,NY,Democrat,119,
Jeff,Merkley,,,M001176,1956,,Senator,OR,Democrat,119,
Mark,Messmer,B.,,M001233,1962,,Representative,IN,Republican,119,
Dan,Meuser,,,M001204,1964,,Representative,PA,Republican,119,
Kweisi,Mfume,,,M000687,1948,,Representative,MD,Democrat,119,
Carol,Miller,,,M001205,1950,,Representative,WV,Republican,119,
Mary,Miller,E.,,M001211,1959,,Representative,IL,Republican,119,
Max,Miller,,,M001222,1988,,Representative,OH,Republican,119,
Mariannette,Miller-Meeks,,,M001215,1955,,Representative,IA,Republican,119,
Cory,Mills,,,M001216,1980,,Representative,FL,Republican,119,
Dave,Min,,,M001241,1976,,Representative,CA,Democrat,119,
Ashley,Moody,Brooke,,M001244,1975,,Senator,FL,Republican,119,
John,Moolenaar,,,M001194,1961,,Representative,MI,Republican,119,2024-11-05
Barry,Moore,,,M001212,1966,,Representative,AL,Republican,119,2024-11-05
Blake,Moore,D.,,M001213,1980,,Representative,UT,Republican,119,2024-11-05
Gwendolynne,Moore,S.,Gwen,M001160,1951,,Representative,WI,Democrat,119,
Riley,Moore,M.,,M001235,1980,,Representative,WV,Republican,119,
Tim,Moore,,,M001236,1970,,Representative,NC,Republican,119,
Jerry,Moran,,,M000934,1954,,Senator,KS,Republican,119,
Nathaniel,Moran,,,M001224,1974,,Representative,TX,Republican,119,2024-11-05
Joseph,Morelle,,,M001206,1957,,Representative,NY,Democrat,119,
Bernardo,Moreno,,Bernie,M001242,1967,,Senator,OH,Republican,119,
Kelly,Morrison,,,M001234,1969,,Representative,MN,Democrat,119,
Jared,Moskowitz,,,M001217,1980,,Representative,FL,Democrat,119,
Seth,Moulton,,,M001196,1978,,Representative,MA,Democrat,119,
James,Moylan,,,M001219,1962,,Delegate,GU,Republican,119,
Frank,Mrvan,J.,,M001214,1969,,Representative,IN,Democrat,119,
Kevin,Mullin,,,M001225,1970,,Representative,CA,Democrat,119,
Markwayne,Mullin,,,M001190,1977,,Senator,OK,Republican,119,
Lisa,Murkowski,,,M001153,1957,,Senator,AK,Republican,119,
Christopher,Murphy,,,M001169,1973,,Senator,CT,Democrat,119,
Gregory,Murphy,Francis,,M001210,1963,,Representative,NC,Republican,119,
Patty,Murray,,,M001111,1950,,Senator,WA,Democrat,119,
Jerrold,Nadler,Lewis,,N000002,1947,,Representative,NY,Democrat,119,
Richard,Neal,Edmund,,N000015,1949,,Representative,MA,Democrat,119,
Joseph,Neguse,,,N000191,1984,,Representative,CO,Democrat,119,
Troy,Nehls,E.,,N000026,1968,,Representative,TX,Republican,119,2024-11-05
Daniel,Newhouse,Milton,,N000189,1955,,Representative,WA,Republican,119,2024-11-05
Donald,Norcross,,,N000188,1958,,Representative,NJ,Democrat,119,2024-11-05
Ralph,Norman,,,N000190,1953,,Representative,SC,Republican,119,
Eleanor,Norton,Holmes,,N000147,1937,,Delegate,DC,Democrat,119,
Zach,Nunn,,,N000193,1979,,Representative,IA,Republican,119,
Jay,Obernolte,,,O000019,1970,,Representative,CA,Republican,119,
Alexandria,Ocasio-Cortez,,,O000172,1989,,Representative,NY,Democrat,119,
Andy,Ogles,,,O000175,1971,,Representative,TN,Republican,119,2024-11-05
Johnny,Olszewski,,,O000176,1982,,Representative,MD,Democrat,119,
Ilhan,Omar,,,O000173,1982,,Representative,MN,Democrat,119,
Robert,Onder,F.,,O000177,1962,,Representative,MO,Republican,119,
Thomas,Ossoff,Jonathan,Jon,O000174,1987,,Senator,GA,Democrat,119,
Burgess,Owens,,,O000086,1951,,Representative,UT,Republican,119,2024-11-05
Alejandro,Padilla,,Alex,P000145,1973,,Senator,CA,Democrat,119,
Frank,Pallone,,,P000034,1951,,Representative,NJ,Democrat,119,2024-11-05
Gary,Palmer,James,,P000609,1954,,Representative,AL,Republican,119,2024-11-05
James,Panetta,Varni,,P000613,1969,,Representative,CA,Democrat,119,
Chris,Pappas,,,P000614,1980,,Representative,NH,Democrat,119,
Jimmy,Patronis,,,P000622,1972,,Representative,FL,Republican,119,2025-04-01
Rand,Paul,,,P000603,1963,,Senator,KY,Republican,119,
Nancy,Pelosi,,,P000197,1940,,Representative,CA,Democrat,119,
Marie,Perez,Gluesenkamp,,G000600,1988,,Representative,WA,Democrat,119,2024-11-05
Scott,Perry,,,P000605,1962,,Representative,PA,Republican,119,
Gary,Peters,C.,,P000595,1958,,Senator,MI,Democrat,119,
Scott,Peters,,,P000608,1958,,Representative,CA,Democrat,119,
Brittany,Pettersen,,,P000620,1981,,Representative,CO,Democrat,119,
August,Pfluger,,,P000048,1977,,Representative,TX,Republican,119,2024-11-05
Chellie,Pingree,,,P000597,1955,,Representative,ME,Democrat,119,
Stacey,Plaskett,E.,,P000610,1966,,Delegate,VI,Democrat,119,
Mark,Pocan,,,P000607,1964,,Representative,WI,Democrat,119,
Nellie,Pou,,,P000621,1956,,Representative,NJ,Democrat,119,2024-11-05
Ayanna,Pressley,,,P000617,1974,,Representative,MA,Democrat,119,
Mike,Quigley,,,Q000023,1958,,Representative,IL,Democrat,119,
Aumua,Radewagen,Amata Coleman,,R000600,1947,,Delegate,AS,Republican,119,
Delia,Ramirez,,,R000617,1983,,Representative,IL,Democrat,119,
Emily,Randall,,,R000621,1985,,Representative,WA,Democrat,119,2024-11-05
Jamie,Raskin,Ben,,R000606,1962,,Representative,MD,Democrat,119,
John,Reed,F.,Jack,R000122,1949,,Senator,RI,Democrat,119,
Guy,Reschenthaler,,,R000610,1983,,Representative,PA,Republican,119,
John,Ricketts,Peter,Pete,R000618,1964,,Senator,NE,Republican,119,
Josh,Riley,,,R000622,1981,,Representative,NY,Democrat,119,
James,Risch,,,R000584,1943,,Senator,ID,Republican,119,
Luz,Rivas,M.,,R000620,1974,,Representative,CA,Democrat,119,
Harold,Rogers,Dallas,Hal,R000395,1937,,Representative,KY,Republican,119,
Michael,Rogers,Dennis,,R000575,1958,,Representative,AL,Republican,119,2024-11-05
John,Rose,,,R000612,1965,,Representative,TN,Republican,119,2024-11-05
Jacklyn,Rosen,Sheryl,,R000608,1957,,Senator,NV,Democrat,119,
Deborah,Ross,K.,,R000305,1963,,Representative,NC,Democrat,119,
Marion,Rounds,Michael,Mike,R000605,1954,,Senator,SD,Republican,119,
David,Rouzer,,,R000603,1972,,Representative,NC,Republican,119,
Charles,Roy,,Chip,R000614,1972,,Representative,TX,Republican,119,2024-11-05
Marco,Rubio,,,R000595,1971,,Senator,FL,Republican,119,
Raul,Ruiz,,,R000599,1972,,Representative,CA,Democrat,119,
Michael,Rulli,,,R000619,1969,,Representative,OH,Republican,119,
John,Rutherford,Henry,,R000609,1952,,Representative,FL,Republican,119,
Patrick,Ryan,,,R000579,1982,,Representative,NY,Democrat,119,
Maria,Salazar,Elvira,,S000168,1961,,Representative,FL,Republican,119,
Andrea,Salinas,,,S001226,1969,,Representative,OR,Democrat,119,2024-11-05
Linda,Sanchez,T.,,S001156,1969,,Representative,CA,Democrat,119,
Bernard,Sanders,,,S000033,1941,,Senator,VT,Independent,119,
Steve,Scalise,,,S001176,1965,,Representative,LA,Republican,119,
Mary,Scanlon,Gay,,S001205,1959,,Representative,PA,Democrat,119,
Janice,Schakowsky,D.,,S001145,1944,,Representative,IL,Democrat,119,
Brian,Schatz,Emanuel,,S001194,1972,,Senator,HI,Democrat,119,
Adam,Schiff,,,S001150,1960,,Senator,CA,Democrat,119,
Derek,Schmidt,,,S001228,1968,,Representative,KS,Republican,119,
Eric,Schmitt,Stephen,,S001227,1975,,Senator,MO,Republican,119,
Brad,Schneider,,,S001190,1961,,Representative,IL,Democrat,119,
Hillary,Scholten,,,S001221,1982,,Representative,MI,Democrat,119,2024-11-05
Kim,Schrier,,,S001216,1968,,Representative,WA,Democrat,119,2024-11-05
Charles,Schumer,Ellis,Chuck,S000148,1950,,Senator,NY,Democrat,119,
David,Schweikert,,,S001183,1962,,Representative,AZ,Republican,119,
Austin,Scott,,,S001189,1969,,Representative,GA,Republican,119,
David,Scott,,,S001157,1945,,Representative,GA,Democrat,119,
Richard,Scott,Lynn,Rick,S001217,1952,,Senator,FL,Republican,119,
Robert,Scott,C.,,S000185,1947,,Representative,VA,Democrat,119,
Tim,Scott,,,S001184,1965,,Senator,SC,Republican,119,
Keith,Self,,,S001224,1953,,Representative,TX,Republican,119,2024-11-05
Pete,Sessions,,,S000250,1955,,Representative,TX,Republican,119,2024-11-05
Terri,Sewell,,,S001185,1965,,Representative,AL,Democrat,119,2024-11-05
Jeanne,Shaheen,,,S001181,1947,,Senator,NH,Democrat,119,
Timothy,Sheehy,Patrick,,S001232,1985,,Senator,MT,Republican,119,
Brad,Sherman,,,S000344,1954,,Representative,CA,Democrat,119,
Mikie,Sherrill,,,S001207,1972,,Representative,NJ,Democrat,119,2024-11-05
Jefferson,Shreve,,,S001229,1965,,Representative,IN,Republican,119,
Lateefah,Simon,,,S001231,1977,,Representative,CA,Democrat,119,
Michael,Simpson,K.,,S001148,1950,,Representative,ID,Republican,119,
Elissa,Slotkin,,,S001208,1976,,Senator,MI,Democrat,119,
Adam,Smith,,,S000510,1965,,Representative,WA,Democrat,119,2024-11-05
Adrian,Smith,,,S001172,1970,,Representative,NE,Republican,119,
Christopher,Smith,Henry,,S000522,1953,,Representative,NJ,Republican,119,2024-11-05
Jason,Smith,,,S001195,1980,,Representative,MO,Republican,119,
Tina,Smith,,,S001203,1958,,Senator,MN,Democrat,119,
Lloyd,Smucker,K.,,S001199,1964,,Representative,PA,Republican,119,
Eric,Sorensen,,,S001225,1976,,Representative,IL,Democrat,119,
Darren,Soto,Michael,,S001200,1978,,Representative,FL,Democrat,119,
Victoria,Spartz,,,S000929,1978,,Representative,IN,Republican,119,
Melanie,Stansbury,,,S001218,1979,,Representative,NM,Democrat,119,
Greg,Stanton,,,S001211,1970,,Representative,AZ,Democrat,119,
Peter,Stauber,,,S001212,1966,,Representative,MN,Republican,119,
Elise,Stefanik,M.,,S001196,1984,,Representative,NY,Republican,119,
Bryan,Steil,,,S001213,1981,,Representative,WI,Republican,119,
W.,Steube,Greg,,S001214,1978,,Representative,FL,Republican,119,
Haley,Stevens,,,S001215,1983,,Representative,MI,Democrat,119,2024-11-05
Marilyn,Strickland,,,S001159,1962,,Representative,WA,Democrat,119,2024-11-05
Dale,Strong,,,S001220,1970,,Representative,AL,Republican,119,2024-11-05
Marlin,Stutzman,A.,,S001188,1976,,Representative,IN,Republican,119,
Suhas,Subramanyam,,,S001230,1986,,Representative,VA,Democrat,119,
Daniel,Sullivan,Scott,,S001198,1964,,Senator,AK,Republican,119,
Thomas,Suozzi,,,S001201,1962,,Representative,NY,Democrat,119,
Eric,Swalwell,,,S001193,1980,,Representative,CA,Democrat,119,
Emilia,Sykes,Strong,,S001223,1986,,Representative,OH,Democrat,119,
Thomas,TIFFANY,P.,,T000165,1957,,Representative,WI,Republican,119,
Mark,Takano,,,T000472,1960,,Representative,CA,Democrat,119,
David,Taylor,J.,,T000490,1969,,Representative,OH,Republican,119,
Claudia,Tenney,,,T000478,1961,,Representative,NY,Republican,119,
Shri,Thanedar,,,T000488,1955,,Representative,MI,Democrat,119,2024-11-05
Bennie,Thompson,,,T000193,1948,,Representative,MS,Democrat,119,
Glenn,Thompson,,,T000467,1959,,Representative,PA,Republican,119,
Michael,Thompson,,,T000460,1951,,Representative,CA,Democrat,119,
John,Thune,,,T000250,1961,,Senator,SD,Republican,119,
Thomas,Tillis,Roland,Thom,T000476,1960,,Senator,NC,Republican,119,
William,Timmons,R.,,T000480,1984,,Representative,SC,Republican,119,
Alice,Titus,,Dina,T000468,1950,,Representative,NV,Democrat,119,2024-11-05
Rashida,Tlaib,,,T000481,1976,,Representative,MI,Democrat,119,2024-11-05
Jill,Tokuda,,,T000487,1976,,Representative,HI,Democrat,119,2024-11-05
Paul,Tonko,,,T000469,1949,,Representative,NY,Democrat,119,
Norma,Torres,Judith,,T000474,1965,,Representative,CA,Democrat,119,
Ritchie,Torres,,,T000486,1988,,Representative,NY,Democrat,119,
Lori,Trahan,,,T000482,1973,,Representative,MA,Democrat,119,
Derek,Tran,,,T000491,1980,,Representative,CA,Democrat,119,
Thomas,Tuberville,Hawley,Tommy,T000278,1954,,Senator,AL,Republican,119,
Michael,Turner,R.,,T000463,1960,,Representative,OH,Republican,119,
Sylvester,Turner,,,T000489,1954,2025,Representative,TX,Democrat,119,2024-11-05
Lauren,Underwood,,,U000040,1986,,Representative,IL,Democrat,119,
David,Valadao,G.,,V000129,1977,,Representative,CA,Republican,119,
Jefferson,Van Drew,,,V000133,1953,,Representative,NJ,Republican,119,2024-11-05
Beth,Van Duyne,,,V000134,1970,,Representative,TX,Republican,119,2024-11-05
Christopher,Van Hollen,,,V000128,1959,,Senator,MD,Democrat,119,
Derrick,Van Orden,,,V000135,1969,,Representative,WI,Republican,119,
James,Vance,David,J.D.,V000137,1984,,Senator,OH,Republican,119,
Juan,Vargas,,,V000130,1961,,Representative,CA,Democrat,119,
Gabriel,Vasquez,,,V000136,1984,,Representative,NM,Democrat,119,
Marc,Veasey,,,V000131,1971,,Representative,TX,Democrat,119,2024-11-05
Nydia,Velazquez,M.,,V000081,1953,,Representative,NY,Democrat,119,
Eugene,Vindman,Simon,,V000138,1975,,Representative,VA,Democrat,119,
Ann,Wagner,,,W000812,1962,,Representative,MO,Republican,119,
Tim,Walberg,,,W000798,1951,,Representative,MI,Republican,119,2024-11-05
James,Walkinshaw,R.,,W000831,1982,,Representative,VA,Democrat,119,2025-09-09
Michael,Waltz,,,W000823,1974,,Representative,FL,Republican,119,
Mark,Warner,R.,,W000805,1954,,Senator,VA,Democrat,119,
Raphael,Warnock,Gamaliel,,W000790,1969,,Senator,GA,Democrat,119,
Elizabeth,Warren,,,W000817,1949,,Senator,MA,Democrat,119,
Debbie,Wasserman Schultz,,,W000797,1966,,Representative,FL,Democrat,119,
Maxine,Waters,,,W000187,1938,,Representative,CA,Democrat,119,
Bonnie,Watson Coleman,,,W000822,1945,,Representative,NJ,Democrat,119,2024-11-05
Randy,Weber,,,W000814,1953,,Representative,TX,Republican,119,2024-11-05
Daniel,Webster,A.,,W000806,1949,,Representative,FL,Republican,119,
Peter,Welch,,,W000800,1947,,Senator,VT,Democrat,119,
Bruce,Westerman,,,W000821,1967,,Representative,AR,Republican,119,
Sheldon,Whitehouse,,,W000802,1955,,Senator,RI,Democrat,119,
George,Whitesides,,,W000830,1974,,Representative,CA,Democrat,119,
Roger,Wicker,F.,,W000437,1951,,Senator,MS,Republican,119,
Tony,Wied,,,W000829,1976,,Representative,WI,Republican,119,
Nikema,Williams,,,W000788,1978,,Representative,GA,Democrat,119,
Roger,Williams,,,W000816,1949,,Representative,TX,Republican,119,2024-11-05
Frederica,Wilson,,,W000808,1942,,Representative,FL,Democrat,119,
Joe,Wilson,,,W000795,1947,,Representative,SC,Republican,119,
Robert,Wittman,J.,,W000804,1959,,Representative,VA,Republican,119,
Steve,Womack,,,W000809,1957,,Representative,AR,Republican,119,
Ronald,Wyden,Lee,,W000779,1949,,Senator,OR,Democrat,119,
Rudy,Yakym,,,Y000067,1984,,Representative,IN,Republican,119,
Todd,Young,,,Y000064,1972,,Senator,IN,Republican,119,
Ryan,Zinke,,,Z000018,1961,,Representative,MT,Republican,119,2024-11-05
