reason,key,first,last,firstname1,lastanme1
no match,robert aderholt,Robert,Aderholt,Robert,Aderholt
no match,robert aderholt,Robert,Aderholt,Robert,Aderholt
no match,robert aderholt,Robert,Aderholt,Robert,Aderholt
no match,robert aderholt,Robert,Aderholt,Robert,Aderholt
no match,robert aderholt,Robert,Aderholt,Robert,Aderholt
no match,rick allen,Rick,Allen,Rick,Allen
no match,rick allen,Rick,Allen,Rick,Allen
no match,rick allen,Rick,Allen,Rick,Allen
no match,rick allen,Rick,Allen,Rick,Allen
no match,rick allen,Rick,Allen,Rick,Allen
no match,angela alsobrooks,Angela,Alsobrooks,Angela,Alsobrooks
no match,angela alsobrooks,Angela,Alsobrooks,Angela,Alsobrooks
no match,angela alsobrooks,Angela,Alsobrooks,Angela,Alsobrooks
no match,angela alsobrooks,Angela,Alsobrooks,Angela,Alsobrooks
no match,angela alsobrooks,Angela,Alsobrooks,Angela,Alsobrooks
no match,gabe amo,Gabe,Amo,Gabe,Amo
no match,gabe amo,Gabe,Amo,Gabe,Amo
no match,gabe amo,Gabe,Amo,Gabe,Amo
no match,gabe amo,Gabe,Amo,Gabe,Amo
no match,gabe amo,Gabe,Amo,Gabe,Amo
no match,yassamin ansari,Yassamin,Ansari,Yassamin,Ansari
no match,yassamin ansari,Yassamin,Ansari,Yassamin,Ansari
no match,yassamin ansari,Yassamin,Ansari,Yassamin,Ansari
no match,yassamin ansari,Yassamin,Ansari,Yassamin,Ansari
no match,yassamin ansari,Yassamin,Ansari,Yassamin,Ansari
no match,don bacon,Don,Bacon,Donald,Bacon
no match,don bacon,Don,Bacon,Donald,Bacon
no match,don bacon,Don,Bacon,Donald,Bacon
no match,don bacon,Don,Bacon,Donald,Bacon
no match,don bacon,Don,Bacon,Donald,Bacon
no match,james baird,James,Baird,James,Baird
no match,james baird,James,Baird,James,Baird
no match,james baird,James,Baird,James,Baird
no match,james baird,James,Baird,James,Baird
no match,james baird,James,Baird,James,Baird
no match,tammy baldwin,Tammy,Baldwin,Tammy,Baldwin
no match,tammy baldwin,Tammy,Baldwin,Tammy,Baldwin
no match,tammy baldwin,Tammy,Baldwin,Tammy,Baldwin
no match,tammy baldwin,Tammy,Baldwin,Tammy,Baldwin
no match,tammy baldwin,Tammy,Baldwin,Tammy,Baldwin
no match,nanette diaz barragan,Nanette Diaz,Barragán,Nanette,Barragan
no match,nanette diaz barragan,Nanette Diaz,Barragán,Nanette,Barragan
no match,nanette diaz barragan,Nanette Diaz,Barragán,Nanette,Barragan
no match,nanette diaz barragan,Nanette Diaz,Barragán,Nanette,Barragan
no match,nanette diaz barragan,Nanette Diaz,Barragán,Nanette,Barragan
no match,john barrasso,John,Barrasso,John,Barrasso
no match,john barrasso,John,Barrasso,John,Barrasso
no match,john barrasso,John,Barrasso,John,Barrasso
no match,john barrasso,John,Barrasso,John,Barrasso
no match,john barrasso,John,Barrasso,John,Barrasso
no match,michael baumgartner,Michael,Baumgartner,Michael,Baumgartner
no match,michael baumgartner,Michael,Baumgartner,Michael,Baumgartner
no match,michael baumgartner,Michael,Baumgartner,Michael,Baumgartner
no match,michael baumgartner,Michael,Baumgartner,Michael,Baumgartner
no match,michael baumgartner,Michael,Baumgartner,Michael,Baumgartner
no match,nicholas begich,Nicholas,Begich,Nicholas,Begich
no match,nicholas begich,Nicholas,Begich,Nicholas,Begich
no match,nicholas begich,Nicholas,Begich,Nicholas,Begich
no match,nicholas begich,Nicholas,Begich,Nicholas,Begich
no match,nicholas begich,Nicholas,Begich,Nicholas,Begich
no match,wesley bell,Wesley,Bell,Wesley,Bell
no match,wesley bell,Wesley,Bell,Wesley,Bell
no match,wesley bell,Wesley,Bell,Wesley,Bell
no match,wesley bell,Wesley,Bell,Wesley,Bell
no match,wesley bell,Wesley,Bell,Wesley,Bell
no match,jack bergman,Jack,Bergman,John,Bergman
no match,jack bergman,Jack,Bergman,John,Bergman
no match,jack bergman,Jack,Bergman,John,Bergman
no match,jack bergman,Jack,Bergman,John,Bergman
no match,jack bergman,Jack,Bergman,John,Bergman
no match,donald beyer,Donald,Beyer,Donald,Beyer
no match,donald beyer,Donald,Beyer,Donald,Beyer
no match,donald beyer,Donald,Beyer,Donald,Beyer
no match,donald beyer,Donald,Beyer,Donald,Beyer
no match,donald beyer,Donald,Beyer,Donald,Beyer
no match,sheri biggs,Sheri,Biggs,Sheri,Biggs
no match,sheri biggs,Sheri,Biggs,Sheri,Biggs
no match,sheri biggs,Sheri,Biggs,Sheri,Biggs
no match,sheri biggs,Sheri,Biggs,Sheri,Biggs
no match,sheri biggs,Sheri,Biggs,Sheri,Biggs
no match,marsha blackburn,Marsha,Blackburn,Marsha,Blackburn
no match,marsha blackburn,Marsha,Blackburn,Marsha,Blackburn
no match,marsha blackburn,Marsha,Blackburn,Marsha,Blackburn
no match,marsha blackburn,Marsha,Blackburn,Marsha,Blackburn
no match,marsha blackburn,Marsha,Blackburn,Marsha,Blackburn
no match,cory booker,Cory,Booker,Cory,Booker
no match,cory booker,Cory,Booker,Cory,Booker
no match,cory booker,Cory,Booker,Cory,Booker
no match,cory booker,Cory,Booker,Cory,Booker
no match,cory booker,Cory,Booker,Cory,Booker
no match,robert bresnahan,Robert,Bresnahan,Robert,Bresnahan
no match,robert bresnahan,Robert,Bresnahan,Robert,Bresnahan
no match,robert bresnahan,Robert,Bresnahan,Robert,Bresnahan
no match,robert bresnahan,Robert,Bresnahan,Robert,Bresnahan
no match,robert bresnahan,Robert,Bresnahan,Robert,Bresnahan
no match,vern buchanan,Vern,Buchanan,Vernon,Buchanan
no match,vern buchanan,Vern,Buchanan,Vernon,Buchanan
no match,vern buchanan,Vern,Buchanan,Vernon,Buchanan
no match,vern buchanan,Vern,Buchanan,Vernon,Buchanan
no match,vern buchanan,Vern,Buchanan,Vernon,Buchanan
no match,janelle bynum,Janelle,Bynum,Janelle,Bynum
no match,janelle bynum,Janelle,Bynum,Janelle,Bynum
no match,janelle bynum,Janelle,Bynum,Janelle,Bynum
no match,janelle bynum,Janelle,Bynum,Janelle,Bynum
no match,janelle bynum,Janelle,Bynum,Janelle,Bynum
no match,maria cantwell,Maria,Cantwell,Maria,Cantwell
no match,maria cantwell,Maria,Cantwell,Maria,Cantwell
no match,maria cantwell,Maria,Cantwell,Maria,Cantwell
no match,maria cantwell,Maria,Cantwell,Maria,Cantwell
no match,maria cantwell,Maria,Cantwell,Maria,Cantwell
no match,shelley moore capito,Shelley Moore,Capito,Shelley,Capito
no match,shelley moore capito,Shelley Moore,Capito,Shelley,Capito
no match,shelley moore capito,Shelley Moore,Capito,Shelley,Capito
no match,shelley moore capito,Shelley Moore,Capito,Shelley,Capito
no match,shelley moore capito,Shelley Moore,Capito,Shelley,Capito
no match,earl carter,Earl,Carter,Buddy,Carter
no match,earl carter,Earl,Carter,Buddy,Carter
no match,earl carter,Earl,Carter,Buddy,Carter
no match,earl carter,Earl,Carter,Buddy,Carter
no match,earl carter,Earl,Carter,Buddy,Carter
no match,bill cassidy,Bill,Cassidy,Bill,Cassidy
no match,bill cassidy,Bill,Cassidy,Bill,Cassidy
no match,bill cassidy,Bill,Cassidy,Bill,Cassidy
no match,bill cassidy,Bill,Cassidy,Bill,Cassidy
no match,bill cassidy,Bill,Cassidy,Bill,Cassidy
no match,gilbert cisneros,Gilbert,Cisneros,Gil,Cisneros
no match,gilbert cisneros,Gilbert,Cisneros,Gil,Cisneros
no match,gilbert cisneros,Gilbert,Cisneros,Gil,Cisneros
no match,gilbert cisneros,Gilbert,Cisneros,Gil,Cisneros
no match,gilbert cisneros,Gilbert,Cisneros,Gil,Cisneros
no match,james clyburn,James,Clyburn,James,Clyburn
no match,james clyburn,James,Clyburn,James,Clyburn
no match,james clyburn,James,Clyburn,James,Clyburn
no match,james clyburn,James,Clyburn,James,Clyburn
no match,james clyburn,James,Clyburn,James,Clyburn
no match,susan collins,Susan,Collins,Susan,Collins
no match,susan collins,Susan,Collins,Susan,Collins
no match,susan collins,Susan,Collins,Susan,Collins
no match,susan collins,Susan,Collins,Susan,Collins
no match,susan collins,Susan,Collins,Susan,Collins
no match,herbert conaway,Herbert,Conaway,Herbert,Conaway
no match,herbert conaway,Herbert,Conaway,Herbert,Conaway
no match,herbert conaway,Herbert,Conaway,Herbert,Conaway
no match,herbert conaway,Herbert,Conaway,Herbert,Conaway
no match,herbert conaway,Herbert,Conaway,Herbert,Conaway
no match,gerald connolly,Gerald,Connolly,Gerald,Connolly
no match,gerald connolly,Gerald,Connolly,Gerald,Connolly
no match,gerald connolly,Gerald,Connolly,Gerald,Connolly
no match,gerald connolly,Gerald,Connolly,Gerald,Connolly
no match,gerald connolly,Gerald,Connolly,Gerald,Connolly
no match,christopher coons,Christopher,Coons,Christopher,Coons
no match,christopher coons,Christopher,Coons,Christopher,Coons
no match,christopher coons,Christopher,Coons,Christopher,Coons
no match,christopher coons,Christopher,Coons,Christopher,Coons
no match,christopher coons,Christopher,Coons,Christopher,Coons
no match,john cornyn,John,Cornyn,John,Cornyn
no match,john cornyn,John,Cornyn,John,Cornyn
no match,john cornyn,John,Cornyn,John,Cornyn
no match,john cornyn,John,Cornyn,John,Cornyn
no match,john cornyn,John,Cornyn,John,Cornyn
no match,j luis correa,J. Luis,Correa,Jose,Correa
no match,j luis correa,J. Luis,Correa,Jose,Correa
no match,j luis correa,J. Luis,Correa,Jose,Correa
no match,j luis correa,J. Luis,Correa,Jose,Correa
no match,j luis correa,J. Luis,Correa,Jose,Correa
no match,tom cotton,Tom,Cotton,Tom,Cotton
no match,tom cotton,Tom,Cotton,Tom,Cotton
no match,tom cotton,Tom,Cotton,Tom,Cotton
no match,tom cotton,Tom,Cotton,Tom,Cotton
no match,tom cotton,Tom,Cotton,Tom,Cotton
no match,kevin cramer,Kevin,Cramer,Kevin,Cramer
no match,kevin cramer,Kevin,Cramer,Kevin,Cramer
no match,kevin cramer,Kevin,Cramer,Kevin,Cramer
no match,kevin cramer,Kevin,Cramer,Kevin,Cramer
no match,kevin cramer,Kevin,Cramer,Kevin,Cramer
no match,elijah crane,Elijah,Crane,Eli,Crane
no match,elijah crane,Elijah,Crane,Eli,Crane
no match,elijah crane,Elijah,Crane,Eli,Crane
no match,elijah crane,Elijah,Crane,Eli,Crane
no match,elijah crane,Elijah,Crane,Eli,Crane
no match,jeff crank,Jeff,Crank,Jeff,Crank
no match,jeff crank,Jeff,Crank,Jeff,Crank
no match,jeff crank,Jeff,Crank,Jeff,Crank
no match,jeff crank,Jeff,Crank,Jeff,Crank
no match,jeff crank,Jeff,Crank,Jeff,Crank
no match,eric crawford,Eric,Crawford,Rick,Crawford
no match,eric crawford,Eric,Crawford,Rick,Crawford
no match,eric crawford,Eric,Crawford,Rick,Crawford
no match,eric crawford,Eric,Crawford,Rick,Crawford
no match,eric crawford,Eric,Crawford,Rick,Crawford
no match,ted cruz,Ted,Cruz,Rafael,Cruz
no match,ted cruz,Ted,Cruz,Rafael,Cruz
no match,ted cruz,Ted,Cruz,Rafael,Cruz
no match,ted cruz,Ted,Cruz,Rafael,Cruz
no match,ted cruz,Ted,Cruz,Rafael,Cruz
no match,steve daines,Steve,Daines,Steve,Daines
no match,steve daines,Steve,Daines,Steve,Daines
no match,steve daines,Steve,Daines,Steve,Daines
no match,steve daines,Steve,Daines,Steve,Daines
no match,steve daines,Steve,Daines,Steve,Daines
no match,danny davis,Danny,Davis,Danny,Davis
no match,donald davis,Donald,Davis,Don,Davis
no match,danny davis,Danny,Davis,Danny,Davis
no match,donald davis,Donald,Davis,Don,Davis
no match,danny davis,Danny,Davis,Danny,Davis
no match,donald davis,Donald,Davis,Don,Davis
no match,danny davis,Danny,Davis,Danny,Davis
no match,donald davis,Donald,Davis,Don,Davis
no match,danny davis,Danny,Davis,Danny,Davis
no match,donald davis,Donald,Davis,Don,Davis
no match,maxine dexter,Maxine,Dexter,Maxine,Dexter
no match,maxine dexter,Maxine,Dexter,Maxine,Dexter
no match,maxine dexter,Maxine,Dexter,Maxine,Dexter
no match,maxine dexter,Maxine,Dexter,Maxine,Dexter
no match,maxine dexter,Maxine,Dexter,Maxine,Dexter
no match,troy downing,Troy,Downing,Troy,Downing
no match,troy downing,Troy,Downing,Troy,Downing
no match,troy downing,Troy,Downing,Troy,Downing
no match,troy downing,Troy,Downing,Troy,Downing
no match,troy downing,Troy,Downing,Troy,Downing
no match,richard durbin,Richard,Durbin,Richard,Durbin
no match,richard durbin,Richard,Durbin,Richard,Durbin
no match,richard durbin,Richard,Durbin,Richard,Durbin
no match,richard durbin,Richard,Durbin,Richard,Durbin
no match,richard durbin,Richard,Durbin,Richard,Durbin
no match,sarah elfreth,Sarah,Elfreth,Sarah,Elfreth
no match,sarah elfreth,Sarah,Elfreth,Sarah,Elfreth
no match,sarah elfreth,Sarah,Elfreth,Sarah,Elfreth
no match,sarah elfreth,Sarah,Elfreth,Sarah,Elfreth
no match,sarah elfreth,Sarah,Elfreth,Sarah,Elfreth
no match,joni ernst,Joni,Ernst,Joni,Ernst
no match,joni ernst,Joni,Ernst,Joni,Ernst
no match,joni ernst,Joni,Ernst,Joni,Ernst
no match,joni ernst,Joni,Ernst,Joni,Ernst
no match,joni ernst,Joni,Ernst,Joni,Ernst
no match,gabe evans,Gabe,Evans,Gabe,Evans
no match,gabe evans,Gabe,Evans,Gabe,Evans
no match,gabe evans,Gabe,Evans,Gabe,Evans
no match,gabe evans,Gabe,Evans,Gabe,Evans
no match,gabe evans,Gabe,Evans,Gabe,Evans
no match,pat fallon,Pat,Fallon,Pat,Fallon
no match,pat fallon,Pat,Fallon,Pat,Fallon
no match,pat fallon,Pat,Fallon,Pat,Fallon
no match,pat fallon,Pat,Fallon,Pat,Fallon
no match,pat fallon,Pat,Fallon,Pat,Fallon
no match,julie fedorchak,Julie,Fedorchak,Julie,Fedorchak
no match,julie fedorchak,Julie,Fedorchak,Julie,Fedorchak
no match,julie fedorchak,Julie,Fedorchak,Julie,Fedorchak
no match,julie fedorchak,Julie,Fedorchak,Julie,Fedorchak
no match,julie fedorchak,Julie,Fedorchak,Julie,Fedorchak
no match,cleo fields,Cleo,Fields,Cleo,Fields
no match,cleo fields,Cleo,Fields,Cleo,Fields
no match,cleo fields,Cleo,Fields,Cleo,Fields
no match,cleo fields,Cleo,Fields,Cleo,Fields
no match,cleo fields,Cleo,Fields,Cleo,Fields
no match,shomari figures,Shomari,Figures,Shomari,Figures
no match,shomari figures,Shomari,Figures,Shomari,Figures
no match,shomari figures,Shomari,Figures,Shomari,Figures
no match,shomari figures,Shomari,Figures,Shomari,Figures
no match,shomari figures,Shomari,Figures,Shomari,Figures
no match,randy fine,Randy,Fine,Randy,Fine
no match,randy fine,Randy,Fine,Randy,Fine
no match,randy fine,Randy,Fine,Randy,Fine
no match,randy fine,Randy,Fine,Randy,Fine
no match,randy fine,Randy,Fine,Randy,Fine
no match,deb fischer,Deb,Fischer,Debra,Fischer
no match,deb fischer,Deb,Fischer,Debra,Fischer
no match,deb fischer,Deb,Fischer,Debra,Fischer
no match,deb fischer,Deb,Fischer,Debra,Fischer
no match,deb fischer,Deb,Fischer,Debra,Fischer
no match,charles fleischmann,Charles,Fleischmann,Chuck,Fleischmann
no match,charles fleischmann,Charles,Fleischmann,Chuck,Fleischmann
no match,charles fleischmann,Charles,Fleischmann,Chuck,Fleischmann
no match,charles fleischmann,Charles,Fleischmann,Chuck,Fleischmann
no match,charles fleischmann,Charles,Fleischmann,Chuck,Fleischmann
no match,vince fong,Vince,Fong,Vince,Fong
no match,vince fong,Vince,Fong,Vince,Fong
no match,vince fong,Vince,Fong,Vince,Fong
no match,vince fong,Vince,Fong,Vince,Fong
no match,vince fong,Vince,Fong,Vince,Fong
no match,laura friedman,Laura,Friedman,Laura,Friedman
no match,laura friedman,Laura,Friedman,Laura,Friedman
no match,laura friedman,Laura,Friedman,Laura,Friedman
no match,laura friedman,Laura,Friedman,Laura,Friedman
no match,laura friedman,Laura,Friedman,Laura,Friedman
no match,brandon gill,Brandon,Gill,Brandon,Gill
no match,brandon gill,Brandon,Gill,Brandon,Gill
no match,brandon gill,Brandon,Gill,Brandon,Gill
no match,brandon gill,Brandon,Gill,Brandon,Gill
no match,brandon gill,Brandon,Gill,Brandon,Gill
no match,kirsten gillibrand,Kirsten,Gillibrand,Kirsten,Gillibrand
no match,kirsten gillibrand,Kirsten,Gillibrand,Kirsten,Gillibrand
no match,kirsten gillibrand,Kirsten,Gillibrand,Kirsten,Gillibrand
no match,kirsten gillibrand,Kirsten,Gillibrand,Kirsten,Gillibrand
no match,kirsten gillibrand,Kirsten,Gillibrand,Kirsten,Gillibrand
no match,craig goldman,Craig,Goldman,Craig,Goldman
no match,daniel goldman,Daniel,Goldman,Daniel,Goldman
no match,craig goldman,Craig,Goldman,Craig,Goldman
no match,daniel goldman,Daniel,Goldman,Daniel,Goldman
no match,craig goldman,Craig,Goldman,Craig,Goldman
no match,daniel goldman,Daniel,Goldman,Daniel,Goldman
no match,craig goldman,Craig,Goldman,Craig,Goldman
no match,daniel goldman,Daniel,Goldman,Daniel,Goldman
no match,craig goldman,Craig,Goldman,Craig,Goldman
no match,daniel goldman,Daniel,Goldman,Daniel,Goldman
no match,maggie goodlander,Maggie,Goodlander,Maggie,Goodlander
no match,maggie goodlander,Maggie,Goodlander,Maggie,Goodlander
no match,maggie goodlander,Maggie,Goodlander,Maggie,Goodlander
no match,maggie goodlander,Maggie,Goodlander,Maggie,Goodlander
no match,maggie goodlander,Maggie,Goodlander,Maggie,Goodlander
no match,lindsey graham,Lindsey,Graham,Lindsey,Graham
no match,lindsey graham,Lindsey,Graham,Lindsey,Graham
no match,lindsey graham,Lindsey,Graham,Lindsey,Graham
no match,lindsey graham,Lindsey,Graham,Lindsey,Graham
no match,lindsey graham,Lindsey,Graham,Lindsey,Graham
no match,h morgan griffith,H. Morgan,Griffith,H.,Griffith
no match,h morgan griffith,H. Morgan,Griffith,H.,Griffith
no match,h morgan griffith,H. Morgan,Griffith,H.,Griffith
no match,h morgan griffith,H. Morgan,Griffith,H.,Griffith
no match,h morgan griffith,H. Morgan,Griffith,Morgan,Griffith
no match,raul grijalva,Raul,Grijalva,Raul,Grijalva
no match,raul grijalva,Raul,Grijalva,Raul,Grijalva
no match,raul grijalva,Raul,Grijalva,Raul,Grijalva
no match,raul grijalva,Raul,Grijalva,Raul,Grijalva
no match,raul grijalva,Raul,Grijalva,Raul,Grijalva
no match,bill hagerty,Bill,Hagerty,William,Hagerty
no match,bill hagerty,Bill,Hagerty,William,Hagerty
no match,bill hagerty,Bill,Hagerty,William,Hagerty
no match,bill hagerty,Bill,Hagerty,William,Hagerty
no match,bill hagerty,Bill,Hagerty,William,Hagerty
no match,abraham hamadeh,Abraham,Hamadeh,Abraham,Hamadeh
no match,abraham hamadeh,Abraham,Hamadeh,Abraham,Hamadeh
no match,abraham hamadeh,Abraham,Hamadeh,Abraham,Hamadeh
no match,abraham hamadeh,Abraham,Hamadeh,Abraham,Hamadeh
no match,abraham hamadeh,Abraham,Hamadeh,Abraham,Hamadeh
no match,mike haridopolos,Mike,Haridopolos,Mike,Haridopolos
no match,mike haridopolos,Mike,Haridopolos,Mike,Haridopolos
no match,mike haridopolos,Mike,Haridopolos,Mike,Haridopolos
no match,mike haridopolos,Mike,Haridopolos,Mike,Haridopolos
no match,mike haridopolos,Mike,Haridopolos,Mike,Haridopolos
no match,mark harris,Mark,Harris,Mark,Harris
no match,mark harris,Mark,Harris,Mark,Harris
no match,mark harris,Mark,Harris,Mark,Harris
no match,mark harris,Mark,Harris,Mark,Harris
no match,mark harris,Mark,Harris,Mark,Harris
