senator_id,committee_code,subcommittee,subcommittee_role
AlsobrooksMD,SSBK,Subcommittee on Financial Institutions and Consumer Protection,
AlsobrooksMD,SSBK,"Subcommittee on Housing, Transportation, and Community Development",
AlsobrooksMD,SSBK,"Subcommittee on Securities, Insurance, and Investment",
AlsobrooksMD,SSEV,"Subcommittee on Fisheries, Wildlife, and Water",
AlsobrooksMD,SSEV,Subcommittee on Transportation and Infrastructure,Ranking
AlsobrooksMD,SSHR,Subcommittee on Education and the American Family,
AlsobrooksMD,SSHR,Subcommittee on Employment and Workplace Safety,
BaldwinWI,SSAP,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",
BaldwinWI,SSAP,Subcommittee on Department of Defense,
BaldwinWI,SSAP,"Subcommittee on Department of Interior, Environment, and Related Agencies",
BaldwinWI,SSAP,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",Ranking
BaldwinWI,SSAP,Subcommittee on Energy and Water Development,
BaldwinWI,SSAP,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",
BaldwinWI,SSCM,"Subcommittee on Coast Guard, Maritime, and Fisheries",
BaldwinWI,SSCM,"Subcommittee on Consumer Protection, Technology, and Data Privacy",
BaldwinWI,SSCM,"Subcommittee on Science, Manufacturing, and Competitiveness",Ranking
BaldwinWI,SSCM,Subcommittee on Telecommunications and Media,
BaldwinWI,SSHR,Subcommittee on Employment and Workplace Safety,
BaldwinWI,SSHR,Subcommittee on Primary Health and Retirement Security,
BanksIN,SSAS,Subcommittee on Personnel,
BanksIN,SSAS,Subcommittee on Seapower,
BanksIN,SSAS,Subcommittee on Strategic Forces,
BanksIN,SSBK,Subcommittee on Economic Policy,
BanksIN,SSBK,Subcommittee on National Security and International Trade and Finance,
BanksIN,SSBK,"Subcommittee on Securities, Insurance, and Investment",
BanksIN,SSHR,Subcommittee on Education and the American Family,
BanksIN,SSHR,Subcommittee on Employment and Workplace Safety,
BanksIN,SSHR,Subcommittee on Primary Health and Retirement Security,
BarrassoWY,SSEG,Subcommittee on Energy,
BarrassoWY,SSEG,Subcommittee on National Parks,
BarrassoWY,SSEG,"Subcommittee on Public Lands, Forests, and Mining",Chairman
BarrassoWY,SSFI,"Subcommittee on Energy, Natural Resources, and Infrastructure",
BarrassoWY,SSFI,Subcommittee on Health Care,
BarrassoWY,SSFI,Subcommittee on Taxation and IRS Oversight,Chairman
BarrassoWY,SSFR,Subcommittee on Africa and Global Health Policy,
BarrassoWY,SSFR,Subcommittee on Europe and Regional Security Cooperation,
BarrassoWY,SSFR,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",
BarrassoWY,SSFR,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",
BennetCO,SSAF,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",Ranking
BennetCO,SSAF,"Subcommittee on Rural Development, Energy, and Credit",
BennetCO,SSFI,"Subcommittee on Energy, Natural Resources, and Infrastructure",
BennetCO,SSFI,"Subcommittee on International Trade, Customs, and Global Competitiveness",
BennetCO,SSFI,Subcommittee on Taxation and IRS Oversight,Ranking
BlackburnTN,SSCM,"Subcommittee on Consumer Protection, Technology, and Data Privacy",Chairman
BlackburnTN,SSCM,"Subcommittee on Science, Manufacturing, and Competitiveness",
BlackburnTN,SSCM,Subcommittee on Telecommunications and Media,
BlackburnTN,SSFI,Subcommittee on Health Care,
BlackburnTN,SSFI,"Subcommittee on Social Security, Pensions, and Family Policy",
BlackburnTN,SSFI,Subcommittee on Taxation and IRS Oversight,
BlackburnTN,SSJU,Subcommittee on Crime and Counterterrorism,
BlackburnTN,SSJU,Subcommittee on Intellectual Property,
BlackburnTN,SSJU,"Subcommittee on Privacy, Technology, and the Law",Chairman
BlackburnTN,SSJU,Subcommittee on the Constitution,
BlumenthalCT,SSAS,Subcommittee on Airland,
BlumenthalCT,SSAS,Subcommittee on Personnel,
BlumenthalCT,SSAS,Subcommittee on Seapower,
BlumenthalCT,SSGA,Permanent Subcommittee on Investigations,Ranking
BlumenthalCT,SSGA,"Subcommittee on Disaster Management, District of Columbia, and Census",
BlumenthalCT,SSJU,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",
BlumenthalCT,SSJU,Subcommittee on Crime and Counterterrorism,
BlumenthalCT,SSJU,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights",
BlumenthalCT,SSJU,"Subcommittee on Privacy, Technology, and the Law",
Blunt RochesterDE,SSBK,Subcommittee on Economic Policy,
Blunt RochesterDE,SSBK,"Subcommittee on Housing, Transportation, and Community Development",
Blunt RochesterDE,SSBK,"Subcommittee on Securities, Insurance, and Investment",
Blunt RochesterDE,SSCM,"Subcommittee on Coast Guard, Maritime, and Fisheries",Ranking
Blunt RochesterDE,SSCM,"Subcommittee on Consumer Protection, Technology, and Data Privacy",
Blunt RochesterDE,SSCM,"Subcommittee on Science, Manufacturing, and Competitiveness",
Blunt RochesterDE,SSCM,Subcommittee on Telecommunications and Media,
Blunt RochesterDE,SSEV,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",
Blunt RochesterDE,SSEV,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",
Blunt RochesterDE,SSEV,Subcommittee on Transportation and Infrastructure,
Blunt RochesterDE,SSHR,Subcommittee on Education and the American Family,Ranking
Blunt RochesterDE,SSHR,Subcommittee on Primary Health and Retirement Security,
BookerNJ,SSAF,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",Ranking
BookerNJ,SSAF,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",
BookerNJ,SSAF,"Subcommittee on Livestock, Dairy, Poultry, and Food Safety",
BookerNJ,SSFR,Subcommittee on Africa and Global Health Policy,Ranking
BookerNJ,SSFR,Subcommittee on Europe and Regional Security Cooperation,
BookerNJ,SSFR,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",
BookerNJ,SSJU,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",Ranking
BookerNJ,SSJU,Subcommittee on Border Security and Immigration,
BookerNJ,SSJU,Subcommittee on Crime and Counterterrorism,
BookerNJ,SSJU,Subcommittee on the Constitution,
BoozmanAR,SSAF,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",
BoozmanAR,SSAF,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",
BoozmanAR,SSAF,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",
BoozmanAR,SSAF,"Subcommittee on Livestock, Dairy, Poultry, and Food Safety",
BoozmanAR,SSAF,"Subcommittee on Rural Development, Energy, and Credit",
BoozmanAR,SSAP,Subcommittee on Department of Defense,
BoozmanAR,SSAP,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",
BoozmanAR,SSAP,Subcommittee on Financial Services and General Government,
BoozmanAR,SSAP,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",Chairman
BoozmanAR,SSAP,"Subcommittee on State, Foreign Operations, and Related Programs",
BoozmanAR,SSAP,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",
BoozmanAR,SSEV,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",
BoozmanAR,SSEV,"Subcommittee on Fisheries, Wildlife, and Water",
BoozmanAR,SSEV,Subcommittee on Transportation and Infrastructure,
BrittAL,SSAP,"Subcommittee on Commerce, Justice, Science, and Related Agencies",
BrittAL,SSAP,Subcommittee on Department of Homeland Security,Chairman
BrittAL,SSAP,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",
BrittAL,SSAP,Subcommittee on Energy and Water Development,
BrittAL,SSAP,"Subcommittee on State, Foreign Operations, and Related Programs",
BrittAL,SSAP,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",
BrittAL,SSBK,Subcommittee on Financial Institutions and Consumer Protection,
BrittAL,SSBK,"Subcommittee on Housing, Transportation, and Community Development",Chairman
BrittAL,SSBK,"Subcommittee on Securities, Insurance, and Investment",
BrittAL,SSJU,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",
BrittAL,SSJU,Subcommittee on Border Security and Immigration,
BrittAL,SSJU,Subcommittee on Crime and Counterterrorism,
BrittAL,SSJU,Subcommittee on Intellectual Property,
BuddNC,SSAS,Subcommittee on Airland,
BuddNC,SSAS,Subcommittee on Cybersecurity,
BuddNC,SSAS,Subcommittee on Emerging Threats and Capabilities,
BuddNC,SSAS,Subcommittee on Personnel,
BuddNC,SSCM,"Subcommittee on Aviation, Space, and Innovation",
BuddNC,SSCM,"Subcommittee on Science, Manufacturing, and Competitiveness",Chairman
BuddNC,SSCM,Subcommittee on Telecommunications and Media,
CantwellWA,SSCM,"Subcommittee on Aviation, Space, and Innovation",
CantwellWA,SSCM,"Subcommittee on Coast Guard, Maritime, and Fisheries",
CantwellWA,SSCM,"Subcommittee on Consumer Protection, Technology, and Data Privacy",
CantwellWA,SSCM,"Subcommittee on Science, Manufacturing, and Competitiveness",
CantwellWA,SSCM,"Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",
CantwellWA,SSCM,Subcommittee on Telecommunications and Media,
CantwellWA,SSFI,"Subcommittee on Energy, Natural Resources, and Infrastructure",Ranking
CapitoWV,SSAP,"Subcommittee on Commerce, Justice, Science, and Related Agencies",
CapitoWV,SSAP,Subcommittee on Department of Defense,
CapitoWV,SSAP,Subcommittee on Department of Homeland Security,
CapitoWV,SSAP,"Subcommittee on Department of Interior, Environment, and Related Agencies",
CapitoWV,SSAP,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",Chairman
CapitoWV,SSAP,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",
CapitoWV,SSCM,"Subcommittee on Aviation, Space, and Innovation",
CapitoWV,SSCM,"Subcommittee on Consumer Protection, Technology, and Data Privacy",
CapitoWV,SSCM,"Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",
CapitoWV,SSCM,Subcommittee on Telecommunications and Media,
CapitoWV,SSEV,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",
CapitoWV,SSEV,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",
CapitoWV,SSEV,"Subcommittee on Fisheries, Wildlife, and Water",
CapitoWV,SSEV,Subcommittee on Transportation and Infrastructure,
CassidyLA,SSEG,Subcommittee on Energy,
CassidyLA,SSEG,Subcommittee on National Parks,
CassidyLA,SSEG,Subcommittee on Water and Power,
CassidyLA,SSFI,Subcommittee on Fiscal Responsibility and Economic Growth,
CassidyLA,SSFI,Subcommittee on Health Care,
CassidyLA,SSFI,Subcommittee on Taxation and IRS Oversight,
CassidyLA,SSHR,Subcommittee on Education and the American Family,
CassidyLA,SSHR,Subcommittee on Employment and Workplace Safety,
CassidyLA,SSHR,Subcommittee on Primary Health and Retirement Security,
CollinsME,SSAP,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",
CollinsME,SSAP,"Subcommittee on Commerce, Justice, Science, and Related Agencies",
CollinsME,SSAP,Subcommittee on Department of Defense,
CollinsME,SSAP,Subcommittee on Department of Homeland Security,
CollinsME,SSAP,"Subcommittee on Department of Interior, Environment, and Related Agencies",
CollinsME,SSAP,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",
CollinsME,SSAP,Subcommittee on Energy and Water Development,
CollinsME,SSAP,Subcommittee on Financial Services and General Government,
CollinsME,SSAP,Subcommittee on Legislative Branch,
CollinsME,SSAP,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",
CollinsME,SSAP,"Subcommittee on State, Foreign Operations, and Related Programs",
CollinsME,SSAP,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",
CollinsME,SSHR,Subcommittee on Primary Health and Retirement Security,
CoonsDE,SSAP,"Subcommittee on Commerce, Justice, Science, and Related Agencies",
CoonsDE,SSAP,Subcommittee on Department of Defense,Ranking
CoonsDE,SSAP,Subcommittee on Energy and Water Development,
CoonsDE,SSAP,Subcommittee on Financial Services and General Government,
CoonsDE,SSAP,"Subcommittee on State, Foreign Operations, and Related Programs",
CoonsDE,SSAP,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",
CoonsDE,SSFR,Subcommittee on Africa and Global Health Policy,
CoonsDE,SSFR,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy",Ranking
CoonsDE,SSFR,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",
CoonsDE,SSFR,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",
CoonsDE,SSJU,Subcommittee on Border Security and Immigration,
CoonsDE,SSJU,Subcommittee on Crime and Counterterrorism,
CoonsDE,SSJU,Subcommittee on Intellectual Property,
CoonsDE,SSJU,"Subcommittee on Privacy, Technology, and the Law",
CornynTX,SSFI,"Subcommittee on Energy, Natural Resources, and Infrastructure",
CornynTX,SSFI,"Subcommittee on International Trade, Customs, and Global Competitiveness",Chairman
CornynTX,SSFI,Subcommittee on Taxation and IRS Oversight,
CornynTX,SSFR,Subcommittee on Africa and Global Health Policy,
CornynTX,SSFR,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy",
CornynTX,SSFR,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",
CornynTX,SSJU,Subcommittee on Border Security and Immigration,Chairman
CornynTX,SSJU,Subcommittee on Crime and Counterterrorism,
CornynTX,SSJU,"Subcommittee on Privacy, Technology, and the Law",
CornynTX,SSJU,Subcommittee on the Constitution,
Cortez MastoNV,SSBK,Subcommittee on Financial Institutions and Consumer Protection,Ranking
Cortez MastoNV,SSBK,Subcommittee on National Security and International Trade and Finance,
Cortez MastoNV,SSBK,"Subcommittee on Securities, Insurance, and Investment",
Cortez MastoNV,SSEG,Subcommittee on Energy,
Cortez MastoNV,SSEG,"Subcommittee on Public Lands, Forests, and Mining",Ranking
Cortez MastoNV,SSEG,Subcommittee on Water and Power,
Cortez MastoNV,SSFI,Subcommittee on Health Care,
Cortez MastoNV,SSFI,"Subcommittee on International Trade, Customs, and Global Competitiveness",
Cortez MastoNV,SSFI,"Subcommittee on Social Security, Pensions, and Family Policy",
CottonAR,SSAS,Subcommittee on Airland,
CottonAR,SSAS,Subcommittee on Cybersecurity,
CottonAR,SSAS,Subcommittee on Emerging Threats and Capabilities,
CottonAR,SSAS,Subcommittee on Strategic Forces,
CottonAR,SSEG,Subcommittee on Energy,
CottonAR,SSEG,"Subcommittee on Public Lands, Forests, and Mining",
CramerND,SSAS,Subcommittee on Airland,Chairman
CramerND,SSAS,Subcommittee on Emerging Threats and Capabilities,
CramerND,SSAS,Subcommittee on Readiness and Management Support,
CramerND,SSAS,Subcommittee on Strategic Forces,
CramerND,SSBK,Subcommittee on Financial Institutions and Consumer Protection,
CramerND,SSBK,"Subcommittee on Housing, Transportation, and Community Development",
CramerND,SSBK,"Subcommittee on Securities, Insurance, and Investment",
CramerND,SSEV,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",
CramerND,SSEV,"Subcommittee on Fisheries, Wildlife, and Water",
CramerND,SSEV,Subcommittee on Transportation and Infrastructure,Chairman
CrapoID,SSBK,Subcommittee on Financial Institutions and Consumer Protection,
CrapoID,SSBK,"Subcommittee on Housing, Transportation, and Community Development",
CrapoID,SSBK,"Subcommittee on Securities, Insurance, and Investment",
CrapoID,SSFI,"Subcommittee on Energy, Natural Resources, and Infrastructure",
CrapoID,SSFI,Subcommittee on Fiscal Responsibility and Economic Growth,
CrapoID,SSFI,Subcommittee on Health Care,
CrapoID,SSFI,"Subcommittee on International Trade, Customs, and Global Competitiveness",
CrapoID,SSFI,"Subcommittee on Social Security, Pensions, and Family Policy",
CrapoID,SSFI,Subcommittee on Taxation and IRS Oversight,
CruzTX,SSCM,"Subcommittee on Aviation, Space, and Innovation",
CruzTX,SSCM,"Subcommittee on Coast Guard, Maritime, and Fisheries",
CruzTX,SSCM,"Subcommittee on Consumer Protection, Technology, and Data Privacy",
CruzTX,SSCM,"Subcommittee on Science, Manufacturing, and Competitiveness",
CruzTX,SSCM,"Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",
CruzTX,SSCM,Subcommittee on Telecommunications and Media,
CruzTX,SSFR,Subcommittee on Africa and Global Health Policy,Chairman
CruzTX,SSFR,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",
CruzTX,SSFR,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",
CruzTX,SSJU,Subcommittee on Border Security and Immigration,
CruzTX,SSJU,Subcommittee on Crime and Counterterrorism,
CruzTX,SSJU,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights",Chairman
CruzTX,SSJU,Subcommittee on the Constitution,
CurtisUT,SSCM,"Subcommittee on Coast Guard, Maritime, and Fisheries",
CurtisUT,SSCM,"Subcommittee on Consumer Protection, Technology, and Data Privacy",
CurtisUT,SSCM,Subcommittee on Telecommunications and Media,
CurtisUT,SSEV,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",Chairman
CurtisUT,SSEV,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",
CurtisUT,SSEV,Subcommittee on Transportation and Infrastructure,
CurtisUT,SSFR,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy",
CurtisUT,SSFR,Subcommittee on Europe and Regional Security Cooperation,
CurtisUT,SSFR,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",Chairman
DainesMT,SSEG,Subcommittee on National Parks,Chairman
DainesMT,SSEG,"Subcommittee on Public Lands, Forests, and Mining",
DainesMT,SSEG,Subcommittee on Water and Power,
DainesMT,SSFI,"Subcommittee on Energy, Natural Resources, and Infrastructure",
DainesMT,SSFI,Subcommittee on Health Care,
DainesMT,SSFI,"Subcommittee on International Trade, Customs, and Global Competitiveness",
DainesMT,SSFR,Subcommittee on Africa and Global Health Policy,
DainesMT,SSFR,Subcommittee on Europe and Regional Security Cooperation,Chairman
DainesMT,SSFR,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",
DuckworthIL,SSAS,Subcommittee on Airland,
DuckworthIL,SSAS,Subcommittee on Personnel,
DuckworthIL,SSAS,Subcommittee on Readiness and Management Support,
DuckworthIL,SSCM,"Subcommittee on Aviation, Space, and Innovation",Ranking
DuckworthIL,SSCM,"Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",
DuckworthIL,SSCM,Subcommittee on Telecommunications and Media,
DuckworthIL,SSFR,Subcommittee on Europe and Regional Security Cooperation,
DuckworthIL,SSFR,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",Ranking
DuckworthIL,SSFR,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",
DurbinIL,SSAF,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",
DurbinIL,SSAF,"Subcommittee on Livestock, Dairy, Poultry, and Food Safety",
DurbinIL,SSAP,Subcommittee on Department of Defense,
DurbinIL,SSAP,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",
DurbinIL,SSAP,Subcommittee on Energy and Water Development,
DurbinIL,SSAP,Subcommittee on Financial Services and General Government,
DurbinIL,SSAP,"Subcommittee on State, Foreign Operations, and Related Programs",
DurbinIL,SSAP,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",
DurbinIL,SSJU,Subcommittee on Crime and Counterterrorism,Ranking
ErnstIA,SSAF,"Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",
ErnstIA,SSAF,"Subcommittee on Livestock, Dairy, Poultry, and Food Safety",
ErnstIA,SSAF,"Subcommittee on Rural Development, Energy, and Credit",Chairman
ErnstIA,SSAS,Subcommittee on Cybersecurity,
ErnstIA,SSAS,Subcommittee on Emerging Threats and Capabilities,Chairman
ErnstIA,SSAS,Subcommittee on Personnel,
ErnstIA,SSGA,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs",
ErnstIA,SSGA,"Subcommittee on Disaster Management, District of Columbia, and Census",
FettermanPA,SSAF,"Subcommittee on Commodities, Derivatives, Risk Management, and Trade",
FettermanPA,SSAF,"Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",
FettermanPA,SSCM,"Subcommittee on Aviation, Space, and Innovation",
FettermanPA,SSCM,Subcommittee on Telecommunications and Media,
FettermanPA,SSGA,Permanent Subcommittee on Investigations,
FettermanPA,SSGA,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs",Ranking
FischerNE,SSAF,"Subcommittee on Livestock, Dairy, Poultry, and Food Safety",
FischerNE,SSAF,"Subcommittee on Rural Development, Energy, and Credit",
FischerNE,SSAP,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",
FischerNE,SSAP,"Subcommittee on Commerce, Justice, Science, and Related Agencies",
FischerNE,SSAP,"Subcommittee on Department of Interior, Environment, and Related Agencies",
FischerNE,SSAP,Subcommittee on Financial Services and General Government,
FischerNE,SSAP,Subcommittee on Legislative Branch,
FischerNE,SSAP,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",
FischerNE,SSAS,Subcommittee on Airland,
FischerNE,SSAS,Subcommittee on Readiness and Management Support,
FischerNE,SSAS,Subcommittee on Strategic Forces,Chairman
FischerNE,SSCM,"Subcommittee on Consumer Protection, Technology, and Data Privacy",
FischerNE,SSCM,"Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",
FischerNE,SSCM,Subcommittee on Telecommunications and Media,Chairman
GallegoAZ,SSBK,Subcommittee on Digital Assets,Ranking
GallegoAZ,SSBK,Subcommittee on Financial Institutions and Consumer Protection,
GallegoAZ,SSBK,"Subcommittee on Housing, Transportation, and Community Development",
GallegoAZ,SSEG,Subcommittee on Energy,Ranking
GallegoAZ,SSEG,Subcommittee on National Parks,
GallegoAZ,SSEG,Subcommittee on Water and Power,
GallegoAZ,SSGA,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs",
GillibrandNY,SSAP,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",
GillibrandNY,SSAP,"Subcommittee on Commerce, Justice, Science, and Related Agencies",
GillibrandNY,SSAP,"Subcommittee on Department of Interior, Environment, and Related Agencies",
GillibrandNY,SSAP,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",
GillibrandNY,SSAP,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",Ranking
GillibrandNY,SSAS,Subcommittee on Cybersecurity,
GillibrandNY,SSAS,Subcommittee on Emerging Threats and Capabilities,
GillibrandNY,SSAS,Subcommittee on Strategic Forces,
GrahamSC,SSAP,"Subcommittee on Commerce, Justice, Science, and Related Agencies",
GrahamSC,SSAP,Subcommittee on Department of Defense,
GrahamSC,SSAP,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",
GrahamSC,SSAP,Subcommittee on Energy and Water Development,
GrahamSC,SSAP,"Subcommittee on State, Foreign Operations, and Related Programs",Chairman
