rank,original,first_name,last_name,info,minimum_net_worth,net_worth,maximum_net_worth,chamber
1,Mark Warner (D-Va),Mark,Warner,D-Va,80129151,214092575,348056000,Senate
2,Greg Gianforte (R-Mont),Greg,Gianforte,R-Mont,189334335,189334335,189334335,House
3,Paul Mitchell (R-Mich),Paul,Mitchell,R-Mich,75420142,179610071,283800000,House
4,Vernon Buchanan (R-Fla),Vernon,Buchanan,R-Fla,32310120,157169056,282027993,House
5,Chris Collins (R-NY),Chris,Collins,R-NY,80834052,154497026,228160000,House
6,Don Beyer (D-Va),Don,Beyer,D-Va,10881046,124901516,238921986,House
7,Nancy Pelosi (D-Calif),Nancy,Pelosi,D-Calif,-12825949,114662521,242150991,House
8,Dianne Feinstein (D-Calif),Dianne,Feinstein,D-Calif,55027069,87938540,120850011,Senate
9,Suzan DelBene (D-Wash),Suzan,DelBene,D-Wash,33667084,79361042,125055000,House
10,Fred Upton (R-Mich),Fred,Upton,R-Mich,32541229,78965614,125390000,House
11,Roger Williams (R-Texas),Roger,Williams,R-Texas,44597061,66980026,89362992,House
12,Kevin Hern (R-Okla),Kevin,Hern,R-Okla,34505238,60979615,87453992,House
13,Scott Peters (D-Calif),Scott,Peters,D-Calif,42982085,60456054,77930023,House
14,Richard W Allen (R-Ga),Richard,W Allen,R-Ga,16905053,52127525,87349998,House
15,John Hoeven (R-ND),John,Hoeven,R-ND,19263138,46689569,74116000,Senate
16,Joe Kennedy III (D-Mass),Joe,Kennedy III,D-Mass,21823213,46546606,71270000,House
17,Ralph Norman (R-SC),Ralph,Norman,R-SC,5517147,43398070,81278994,House
18,Johnny Isakson (R-Ga),Johnny,Isakson,R-Ga,16510042,43006021,69502000,Senate
19,James E Risch (R-Idaho),James,Risch,R-Idaho,15174053,41807024,68439996,Senate
20,Ron Johnson (R-Wis),Ron,Johnson,R-Wis,14101014,39233507,64366000,Senate
21,Mitch McConnell (R-Ky),Mitch,McConnell,R-Ky,13445069,34137534,54830000,Senate
22,Kenny Marchant (R-Texas),Kenny,Marchant,R-Texas,12960026,33738015,54516004,House
23,Buddy Carter (R-Ga),Buddy,Carter,R-Ga,13829062,33232031,52635000,House
24,Steven Daines (R-Mont),Steven,Daines,R-Mont,13442084,32863042,52284000,Senate
25,Lloyd Doggett (D-Texas),Lloyd,Doggett,D-Texas,14295056,29723027,45150999,House
26,Brad Schneider (D-Ill),Brad,Schneider,D-Ill,16143165,27159082,38175000,House
27,Lamar Alexander (R-Tenn),Lamar,Alexander,R-Tenn,-9491902,25919044,61329991,Senate
28,David Perdue (R-Ga),David,Perdue,R-Ga,10195194,25822596,41449999,Senate
29,Nita M Lowey (D-NY),Nita,Lowey,D-NY,9480019,24765009,40050000,House
30,Jim Sensenbrenner (R-Wis),Jim,Sensenbrenner,R-Wis,15921438,21750911,27580385,House
31,Phil Roe (R-Tenn),Phil,Roe,R-Tenn,19761620,20218616,20675613,House
32,Richard C Shelby (R-Ala),Richard,Shelby,R-Ala,7590027,19145013,30700000,Senate
33,John A Yarmuth (D-Ky),John,Yarmuth,D-Ky,5439096,17075547,28711999,House
34,Jim Cooper (D-Tenn),Jim,Cooper,D-Tenn,7654050,16269525,24885000,House
35,Michael Bennet (D-Colo),Michael,Bennet,D-Colo,6277029,15706014,25135000,Senate
36,Liz Cheney (R-Wyo),Liz,Cheney,R-Wyo,5671028,14710513,23749999,House
37,Tom Rice (R-SC),Tom,Rice,R-SC,5629020,14569510,23510000,House
38,Bill Foster (D-Ill),Bill,Foster,D-Ill,7246036,14130518,21015000,House
39,Dan Newhouse (R-Wash),Dan,Newhouse,R-Wash,894040,13777019,26659998,House
40,Carolyn B Maloney (D-NY),Carolyn,Maloney,D-NY,5128059,12999029,20869999,House
41,Earl Blumenauer (D-Ore),Earl,Blumenauer,D-Ore,4695086,12561042,20426998,House
42,Mike Kelly (R-Pa),Mike,Kelly,R-Pa,2493113,12419056,22344999,House
43,Mike Conaway (R-Texas),Mike,Conaway,R-Texas,6302179,12417089,18532000,House
44,Ralph Abraham (R-La),Ralph,Abraham,R-La,4890050,12370524,19850999,House
45,Markwayne Mullin (R-Okla),Markwayne,Mullin,R-Okla,4012026,11384012,18755999,House
46,Ann L Wagner (R-Mo),Ann,Wagner,R-Mo,6655131,11055565,15456000,House
47,Jackie Speier (D-Calif),Jackie,Speier,D-Calif,5980059,11028529,16077000,House
48,Thom Tillis (R-NC),Thom,Tillis,R-NC,4002094,10966045,17929996,Senate
49,Rob Portman (R-Ohio),Rob,Portman,R-Ohio,5725090,10827545,15930000,Senate
50,Lisa Blunt Rochester (D-Del),Lisa,Blunt Rochester,D-Del,5549092,10692546,15836000,House
51,Anna Eshoo (D-Calif),Anna,Eshoo,D-Calif,4806022,10298011,15790000,House
52,Chris Coons (D-Del),Chris,Coons,D-Del,6678074,10126038,13574003,Senate
53,Chellie Pingree (D-Maine),Chellie,Pingree,D-Maine,3586013,9938006,16290000,House
54,Neal Dunn (R-Fla),Neal,Dunn,R-Fla,4874067,9529533,14184999,House
55,Angus King (I-Maine),Angus,King,I-Maine,3477125,9494061,15510998,Senate
56,Vicky Hartzler (R-Mo),Vicky,Hartzler,R-Mo,3165029,9395012,15624995,House
57,Josh Gottheimer (D-NJ),Josh,Gottheimer,D-NJ,3442330,8935664,14428999,House
58,Al Lawson (D-Fla),Al,Lawson,D-Fla,4956123,8673061,12390000,House
59,Debbie Dingell (D-Mich),Debbie,Dingell,D-Mich,4820144,8486072,12152000,House
60,Brad Sherman (D-Calif),Brad,Sherman,D-Calif,3400032,8427016,13454000,House
61,John A Barrasso (R-Wyo),John,Barrasso,R-Wyo,3533013,8339006,13145000,Senate
62,Ken Calvert (R-Calif),Ken,Calvert,R-Calif,-4349984,8000004,20349992,House
63,Elizabeth Warren (D-Mass),Elizabeth,Warren,D-Mass,4880024,7977513,11075002,Senate
64,Kurt Schrader (D-Ore),Kurt,Schrader,D-Ore,3443148,7907573,12371999,House
65,John Curtis (R-Utah),John,Curtis,R-Utah,-1870893,7860050,17590994,House
66,Brett Guthrie (R-Ky),Brett,Guthrie,R-Ky,3025020,7663010,12301000,House
67,Joe Manchin (D-WVa),Joe,Manchin,D-WVa,3473070,7623534,11773999,Senate
68,Chuck Grassley (R-Iowa),Chuck,Grassley,R-Iowa,4240150,7550075,10860000,Senate
69,Sheldon Whitehouse (D-RI),Sheldon,Whitehouse,D-RI,3064259,7443628,11822998,Senate
70,Richard Burr (R-NC),Richard,Burr,R-NC,3426214,7426213,11426212,Senate
71,Ami Bera (D-Calif),Ami,Bera,D-Calif,3454067,7420029,11385992,House
72,Dennis Heck (D-Wash),Dennis,Heck,D-Wash,4437069,7301034,10164999,House
73,Roger Marshall (R-Kan),Roger,Marshall,R-Kan,2857100,7264049,11670998,House
74,Jim Himes (D-Conn),Jim,Himes,D-Conn,3563044,7262522,10962000,House
75,Joyce Beatty (D-Ohio),Joyce,Beatty,D-Ohio,2655029,7216014,11777000,House
76,Judy Chu (D-Calif),Judy,Chu,D-Calif,4383063,7090031,9797000,House
77,French Hill (R-Ark),French,Hill,R-Ark,3224069,7035033,10845998,House
78,Suzanne Bonamici (D-Ore),Suzanne,Bonamici,D-Ore,3491033,6978016,10465000,House
79,Ron Wyden (D-Ore),Ron,Wyden,D-Ore,5370048,6877025,8384003,Senate
80,Katherine Clark (D-Mass),Katherine,Clark,D-Mass,2677119,6804059,10930999,House
81,John Lee Ratcliffe (R-Texas),John,Lee Ratcliffe,R-Texas,2465006,6757503,11050000,House
82,David McKinley (R-WVa),David,McKinley,R-WVa,3839113,6739056,9639000,House
83,Scott Tipton (R-Colo),Scott,Tipton,R-Colo,2978071,6574035,10170000,House
84,Ted Budd (R-NC),Ted,Budd,R-NC,2798071,6400534,10002998,House
85,Robert B Aderholt (R-Ala),Robert,Aderholt,R-Ala,2676022,6370510,10064999,House
86,Kathy Castor (D-Fla),Kathy,Castor,D-Fla,3001037,6296518,9592000,House
87,Tom O'Halleran (D-Ariz),Tom,O'Halleran,D-Ariz,2136011,6288005,10440000,House
88,Steve Cohen (D-Tenn),Steve,Cohen,D-Tenn,3448116,6198058,8948000,House
89,Chuck Fleischmann (R-Tenn),Chuck,Fleischmann,R-Tenn,3340555,5958051,8575548,House
90,Lou Correa (D-Calif),Lou,Correa,D-Calif,3794043,5940521,8087000,House
91,Brad Wenstrup (R-Ohio),Brad,Wenstrup,R-Ohio,2077066,5917032,9756999,House
92,Bill Pascrell Jr. (D-NJ),Bill,Pascrell Jr.,D-NJ,2635041,5757020,8879000,House
93,Maria Cantwell (D-Wash),Maria,Cantwell,D-Wash,1094022,5756508,10418994,Senate
94,Tom Carper (D-Del),Tom,Carper,D-Del,2833192,5726595,8619999,Senate
95,Roy Blunt (R-Mo),Roy,Blunt,R-Mo,2599022,5704510,8809999,Senate
96,Mike Thompson (D-Calif),Mike,Thompson,D-Calif,3434046,5672022,7909999,House
97,Pete Olson (R-Texas),Pete,Olson,R-Texas,2605038,5665019,8725000,House
98,Peter Welch (D-Vt),Peter,Welch,D-Vt,3013128,5567564,8122000,House
99,Al Green (D-Texas),Al,Green,D-Texas,2467014,5373507,8280000,House
100,James Comer (R-Ky),James,Comer,R-Ky,1920024,5285011,8649998,House
101,Tom Cole (R-Okla),Tom,Cole,R-Okla,3186060,5251030,7316000,House
102,Doug Jones (D-Ala),Doug,Jones,D-Ala,2226130,5209563,8192997,Senate
103,Robert E Latta (R-Ohio),Robert,Latta,R-Ohio,3147063,5188531,7230000,House
104,John Garamendi (D-Calif),John,Garamendi,D-Calif,2356016,5168508,7981000,House
105,James M Inhofe (R-Okla),James,Inhofe,R-Okla,2368012,5157006,7946000,Senate
106,Stephanie Murphy (D-Fla),Stephanie,Murphy,D-Fla,2888035,4985016,7081998,House
107,Mary Gay Scanlon (D-Pa),Mary,Gay Scanlon,D-Pa,2770069,4924533,7078998,House
108,Jim Costa (D-Calif),Jim,Costa,D-Calif,1894028,4902513,7910999,House
109,George Holding (R-NC),George,Holding,R-NC,1938024,4876510,7814997,House
110,Catherine Cortez Masto (D-Nev),Catherine,Cortez Masto,D-Nev,2350042,4601020,6851998,Senate
111,Mike Rounds (R-SD),Mike,Rounds,R-SD,-1442935,4532031,10506998,Senate
112,Andy Biggs (R-Ariz),Andy,Biggs,R-Ariz,1953009,4512004,7070999,House
113,Blake Farenthold (R-Texas),Blake,Farenthold,R-Texas,3410600,4405582,5400564,House
114,Gary Peters (D-Mich),Gary,Peters,D-Mich,1750211,4368105,6985999,Senate
115,Justin Amash (R-Mich),Justin,Amash,R-Mich,1202037,4366518,7530999,House
116,Mazie K Hirono (D-Hawaii),Mazie,Hirono,D-Hawaii,2661039,4339019,6017000,Senate
117,Daniel Lipinski (D-Ill),Daniel,Lipinski,D-Ill,2557054,4256027,5955000,House
118,Collin Peterson (D-Minn),Collin,Peterson,D-Minn,1816008,4241504,6667000,House
119,Cindy Hyde-Smith (R-Miss),Cindy,Hyde-Smith,R-Miss,1921089,4175541,6429994,Senate
120,Jamie Raskin (D-Md),Jamie,Raskin,D-Md,2314073,4162036,6010000,House
121,Susan Collins (R-Maine),Susan,Collins,R-Maine,2255087,4124043,5993000,Senate
122,Zoe Lofgren (D-Calif),Zoe,Lofgren,D-Calif,2143093,3844546,5546000,House
123,Jeanne Shaheen (D-NH),Jeanne,Shaheen,D-NH,-344974,3823005,7990984,Senate
124,Blaine Luetkemeyer (R-Mo),Blaine,Luetkemeyer,R-Mo,1466006,3765503,6065000,House
125,Jon Tester (D-Mont),Jon,Tester,D-Mont,1284008,3672003,6059999,Senate
126,Virginia Foxx (R-NC),Virginia,Foxx,R-NC,2240032,3670516,5101000,House
127,David Price (D-NC),David,Price,D-NC,1910084,3568042,5226000,House
128,Ted Lieu (D-Calif),Ted,Lieu,D-Calif,1049040,3533519,6017999,House
129,Kamala Harris (D-Calif),Kamala,Harris,D-Calif,1592053,3499026,5405999,Senate
130,Doug LaMalfa (R-Calif),Doug,LaMalfa,R-Calif,1281008,3498504,5716000,House
131,Bill Flores (R-Texas),Bill,Flores,R-Texas,3490195,3490195,3490195,House
132,Maggie Hassan (D-NH),Maggie,Hassan,D-NH,1478086,3467042,5455998,Senate
133,Susan Brooks (R-Ind),Susan,Brooks,R-Ind,2412037,3428519,4445001,House
134,David P Joyce (R-Ohio),David,Joyce,R-Ohio,1905063,3415031,4925000,House
135,Frank Pallone Jr. (D-NJ),Frank,Pallone Jr.,D-NJ,1768105,3413551,5058998,House
136,John Carter (R-Texas),John,Carter,R-Texas,1067008,3373503,5679999,House
137,Matt Cartwright (D-Pa),Matt,Cartwright,D-Pa,3305306,3305306,3305306,House
138,Andy Harris (R-Md),Andy,Harris,R-Md,1918038,3244519,4571000,House
139,Ted Cruz (R-Texas),Ted,Cruz,R-Texas,-9027848,3198068,15423985,Senate
140,Ben Cardin (D-Md),Ben,Cardin,D-Md,1602092,3112546,4623000,Senate
141,Diana DeGette (D-Colo),Diana,DeGette,D-Colo,1680051,3095025,4509999,House
142,Ted Yoho (R-Fla),Ted,Yoho,R-Fla,2015944,3089937,4163931,House
143,David Kustoff (R-Tenn),David,Kustoff,R-Tenn,1590084,3048541,4506999,House
144,Alan Lowenthal (D-Calif),Alan,Lowenthal,D-Calif,1301143,3015071,4729000,House
145,Pat Roberts (R-Kan),Pat,Roberts,R-Kan,1680030,2966514,4252999,Senate
146,Bob Gibbs (R-Ohio),Bob,Gibbs,R-Ohio,1587064,2947531,4307999,House
147,Bill Keating (D-Mass),Bill,Keating,D-Mass,1708042,2940021,4172000,House
148,Tom Suozzi (D-NY),Tom,Suozzi,D-NY,1657067,2932533,4208000,House
149,Susan Davis (D-Calif),Susan,Davis,D-Calif,1674042,2817021,3960000,House
150,Thomas Massie (R-Ky),Thomas,Massie,R-Ky,703004,2816501,4929998,House
151,Lloyd Smucker (R-Pa),Lloyd,Smucker,R-Pa,435010,2810002,5184995,House
152,Ben Sasse (R-Neb),Ben,Sasse,R-Neb,281015,2788007,5294999,Senate
153,Billy Long (R-Mo),Billy,Long,R-Mo,1152045,2783022,4413999,House
154,Deb Fischer (R-Neb),Deb,Fischer,R-Neb,122012,2776005,5429998,Senate
155,Ann Kuster (D-NH),Ann,Kuster,D-NH,2145625,2762620,3379616,House
156,Don Norcross (D-NJ),Don,Norcross,D-NJ,1446068,2744534,4043000,House
157,James P McGovern (D-Mass),James,P McGovern,D-Mass,381005,2698001,5014998,House
158,Gerry Connolly (D-Va),Gerry,Connolly,D-Va,1405047,2650022,3894997,House
159,Jeff Merkley (D-Ore),Jeff,Merkley,D-Ore,980019,2603008,4225998,Senate
160,Lois J Frankel (D-Fla),Lois,J Frankel,D-Fla,939176,2588088,4237000,House
161,Greg Walden (R-Ore),Greg,Walden,R-Ore,1556033,2574016,3592000,House
162,Rosa L DeLauro (D-Conn),Rosa,DeLauro,D-Conn,131007,2541002,4950997,House
163,David Scott (D-Ga),David,Scott,D-Ga,151004,2508001,4864998,House
164,Nanette Barragan (D-Calif),Nanette,Barragan,D-Calif,21016,2435507,4849998,House
165,Austin Scott (R-Ga),Austin,Scott,R-Ga,1155044,2397020,3638997,House
166,Dan Sullivan (R-Alaska),Dan,Sullivan,R-Alaska,986042,2372519,3758997,Senate
167,Michael Burgess (R-Texas),Michael,Burgess,R-Texas,1326054,2328027,3330000,House
168,Brian Babin (R-Texas),Brian,Babin,R-Texas,1034102,2287551,3541000,House
169,Shelley Moore Capito (R-WVa),Shelley,Moore Capito,R-WVa,-224830,2149080,4522991,Senate
170,Mike Enzi (R-Wyo),Mike,Enzi,R-Wyo,1042056,2137028,3232000,Senate
171,Eleanor Holmes Norton (D-DC),Eleanor,Holmes Norton,D-DC,1162038,2084019,3006000,House
172,Pat Toomey (R-Pa),Pat,Toomey,R-Pa,721060,2038029,3354998,Senate
173,Tom Udall (D-NM),Tom,Udall,D-NM,635032,1985515,3335998,Senate
174,Martha Roby (R-Ala),Martha,Roby,R-Ala,1058047,1948523,2839000,House
175,Mike Simpson (R-Idaho),Mike,Simpson,R-Idaho,1023041,1944519,2865998,House
176,Gary Palmer (R-Ala),Gary,Palmer,R-Ala,796088,1918044,3040000,House
177,Cathy McMorris Rodgers (R-Wash),Cathy,McMorris Rodgers,R-Wash,985027,1892513,2799999,House
178,John Cornyn (R-Texas),John,Cornyn,R-Texas,1074046,1884522,2694999,Senate
179,Dutch Ruppersberger (D-Md),Dutch,Ruppersberger,D-Md,1131021,1860510,2590000,House
180,Ron Kind (D-Wis),Ron,Kind,D-Wis,1145018,1835009,2525000,House
181,Pete Visclosky (D-Ind),Pete,Visclosky,D-Ind,964037,1775018,2586000,House
182,Jerry Moran (R-Kan),Jerry,Moran,R-Kan,749079,1759539,2769999,Senate
183,Susan Wild (D-Pa),Susan,Wild,D-Pa,839032,1746015,2652999,House
184,Larry Bucshon (R-Ind),Larry,Bucshon,R-Ind,960040,1744520,2529000,House
185,John Rutherford (R-Fla),John,Rutherford,R-Fla,712109,1712054,2712000,House
186,Tina Smith (D-Minn),Tina,Smith,D-Minn,-3638944,1696020,7030984,Senate
187,Patty Murray (D-Wash),Patty,Murray,D-Wash,839022,1687010,2534999,Senate
188,Rob Wittman (R-Va),Rob,Wittman,R-Va,-256872,1645563,3547998,House
189,Mike D Rogers (R-Ala),Mike,Rogers,R-Ala,152026,1601011,3049996,House
190,Juan Vargas (D-Calif),Juan,Vargas,D-Calif,17009,1591002,3164995,House
191,Raja Krishnamoorthi (D-Ill),Raja,Krishnamoorthi,D-Ill,482030,1581013,2679997,House
192,Julia Brownley (D-Calif),Julia,Brownley,D-Calif,207036,1569516,2931997,House
193,Frederica Wilson (D-Fla),Frederica,Wilson,D-Fla,960011,1555005,2150000,House
194,David Cicilline (D-RI),David,Cicilline,D-RI,1017006,1548503,2080000,House
195,Peter DeFazio (D-Ore),Peter,DeFazio,D-Ore,910020,1519010,2128000,House
196,Stephen F Lynch (D-Mass),Stephen,Lynch,D-Mass,807018,1519008,2230999,House
197,Lisa Murkowski (R-Alaska),Lisa,Murkowski,R-Alaska,817024,1499011,2180999,Senate
198,Bill Huizenga (R-Mich),Bill,Huizenga,R-Mich,926022,1498511,2071000,House
199,Jared Huffman (D-Calif),Jared,Huffman,D-Calif,811045,1478522,2146000,House
200,Charlie Crist (D-Fla),Charlie,Crist,D-Fla,902011,1442005,1982000,House
201,Adam Schiff (D-Calif),Adam,Schiff,D-Calif,796024,1436011,2075999,House
202,Bobby Scott (D-Va),Bobby,Scott,D-Va,566071,1422035,2277999,House
203,Elijah E Cummings (D-Md),Elijah,Cummings,D-Md,636005,1420501,2204998,House
204,Pat Tiberi (R-Ohio),Pat,Tiberi,R-Ohio,687041,1399520,2111999,House
205,Dwight Evans (D-Pa),Dwight,Evans,D-Pa,489051,1354524,2219998,House
206,Frank D Lucas (R-Okla),Frank,Lucas,R-Okla,485013,1352504,2219995,House
207,Debbie Lesko (R-Ariz),Debbie,Lesko,R-Ariz,767030,1348515,1930000,House
208,Doris Matsui (D-Calif),Doris,Matsui,D-Calif,763014,1279007,1795000,House
209,Don Young (R-Alaska),Don,Young,R-Alaska,782009,1256004,1730000,House
210,Donald McEachin (D-Va),Donald,McEachin,D-Va,733012,1232505,1731999,House
