first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3
Sheila,Cherfilus-McCormick,sheila-cherfilus-mccormick,https://www.opensecrets.org/members-of-congress/sheila-cherfilus-mccormick/summary?cid=N00043504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy,Chu,judy-chu,https://www.opensecrets.org/members-of-congress/judy-chu/summary?cid=N00030600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan,Ciscomani,juan-ciscomani,https://www.opensecrets.org/members-of-congress/juan-ciscomani/summary?cid=N00049039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Ray,Cisneros,gilbert-ray-cisneros,https://www.opensecrets.org/members-of-congress/gil-cisneros/summary?cid=N00041464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katherine M.,Clark,katherine-m-clark,https://www.opensecrets.org/members-of-congress/clark-katherine/summary?cid=N00035278&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yvette D.,Clarke,yvette-d-clarke,https://www.opensecrets.org/members-of-congress/clarke-yvette/summary?cid=N00026961&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel,Cleaver,emanuel-cleaver,https://www.opensecrets.org/members-of-congress/emanuel-cleaver/summary?cid=N00026790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,Cline,ben-cline,https://www.opensecrets.org/members-of-congress/ben-cline/summary?cid=N00042296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,Cloud,michael-cloud,https://www.opensecrets.org/members-of-congress/michael-cloud/summary?cid=N00041882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James E.,Clyburn,james-e-clyburn,https://www.opensecrets.org/members-of-congress/clyburn-james-e/summary?cid=N00002408&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew S.,Clyde,andrew-s-clyde,https://www.opensecrets.org/members-of-congress/clyde-andrew/summary?cid=N00046654&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve,Cohen,steve-cohen,https://www.opensecrets.org/members-of-congress/steve-cohen/summary?cid=N00003225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom,Cole,tom-cole,https://www.opensecrets.org/members-of-congress/tom-cole/summary?cid=N00025726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,Collins,mike-collins,https://www.opensecrets.org/members-of-congress/mike-collins/summary?cid=N00035370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan M.,Collins,susan-m-collins,https://www.opensecrets.org/members-of-congress/collins-susan-m/summary?cid=N00000491&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James,Comer,james-comer,https://www.opensecrets.org/members-of-congress/james-comer/summary?cid=N00038260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert C.,Conaway,herbert-c-conaway,https://www.opensecrets.org/officeholders/herbert-c-conaway-jr/summary?cycle=2024&id=6389645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald E.,Connolly,gerald-e-connolly,https://www.opensecrets.org/members-of-congress/gerry-connolly/summary?cid=N00029891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher A.,Coons,christopher-a-coons,https://www.opensecrets.org/members-of-congress/chris-coons/summary?cid=N00031820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,Cornyn,john-cornyn,https://www.opensecrets.org/members-of-congress/cornyn-john/summary?cid=N00024852&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Luis,Correa,j-luis-correa,https://www.opensecrets.org/members-of-congress/correa-lou/summary?cid=N00037260&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Cortez Masto,catherine-cortez-masto,https://www.opensecrets.org/members-of-congress/catherine-cortez-masto/summary?cid=N00037161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim,Costa,jim-costa,https://www.opensecrets.org/members-of-congress/jim-costa/summary?cid=N00026341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom,Cotton,tom-cotton,https://www.opensecrets.org/members-of-congress/cotton-tom/summary?cid=N00033363&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Courtney,joe-courtney,https://www.opensecrets.org/members-of-congress/joe-courtney/summary?cid=N00024842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angie,Craig,angie-craig,https://www.opensecrets.org/members-of-congress/angie-craig/summary?cid=N00037039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Cramer,kevin-cramer,https://www.opensecrets.org/members-of-congress/cramer-kevin/summary?cid=N00004614&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,Crane,elijah-crane,https://www.opensecrets.org/members-of-congress/crane-eli/summary?cid=N00048953&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff,Crank,jeff-crank,https://www.opensecrets.org/members-of-congress/jeffrey-g-crank/summary?cid=N00028132&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,Crapo,mike-crapo,https://www.opensecrets.org/members-of-congress/mike-crapo/summary?cid=N00006267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eric A. ""Rick""",Crawford,eric-a-rick-crawford,https://www.opensecrets.org/members-of-congress/crawford-rick/summary?cid=N00030770&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan,Crenshaw,dan-crenshaw,https://www.opensecrets.org/members-of-congress/dan-crenshaw/summary?cid=N00042224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasmine,Crockett,jasmine-crockett,https://www.opensecrets.org/members-of-congress/jasmine-crockett/summary?cid=N00049840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason,Crow,jason-crow,https://www.opensecrets.org/members-of-congress/jason-crow/summary?cid=N00040876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted,Cruz,ted-cruz,https://www.opensecrets.org/members-of-congress/cruz-ted/summary?cid=N00033085&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,Cuellar,henry-cuellar,https://www.opensecrets.org/members-of-congress/henry-cuellar/summary?cid=N00024978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R.,Curtis,john-r-curtis,https://www.opensecrets.org/members-of-congress/curtis-john/summary?cid=N00041221&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve,Daines,steve-daines,https://www.opensecrets.org/members-of-congress/daines-steven/summary?cid=N00033054&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharice,Davids,sharice-davids,https://www.opensecrets.org/members-of-congress/sharice-davids/summary?cid=N00042626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren,Davidson,warren-davidson,https://www.opensecrets.org/members-of-congress/warren-davidson/summary?cid=N00038767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny K.,Davis,danny-k-davis,https://www.opensecrets.org/members-of-congress/davis-danny-k/summary?cid=N00004884&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald G.,Davis,donald-g-davis,https://www.opensecrets.org/members-of-congress/davis-don/summary?cid=N00049636&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monica,De La Cruz,monica-de-la-cruz,https://www.opensecrets.org/members-of-congress/monica-de-la-cruz/summary?cid=N00045793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madeleine,Dean,madeleine-dean,https://www.opensecrets.org/members-of-congress/madeleine-dean/summary?cid=N00042894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana,DeGette,diana-degette,https://www.opensecrets.org/members-of-congress/diana-degette/summary?cid=N00006134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa L.,DeLauro,rosa-l-delauro,https://www.opensecrets.org/members-of-congress/delauro-rosa/summary?cid=N00000615&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzan K.,DelBene,suzan-k-delbene,https://www.opensecrets.org/members-of-congress/delbene-suzan/summary?cid=N00030693&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher R.,Deluzio,christopher-r-deluzio,https://www.opensecrets.org/members-of-congress/deluzio-christopher/summary?cid=N00049160&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,DeSaulnier,mark-desaulnier,https://www.opensecrets.org/members-of-congress/mark-desaulnier/summary?cid=N00030709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,DesJarlais,scott-desjarlais,https://www.opensecrets.org/members-of-congress/scott-desjarlais/summary?cid=N00030957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxine,Dexter,maxine-dexter,https://www.opensecrets.org/members-of-congress/maxine-dexter/summary?cid=N00054144&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario,Diaz-Balart,mario-diaz-balart,https://www.opensecrets.org/members-of-congress/mario-diaz-balart/summary?cid=N00025337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debbie,Dingell,debbie-dingell,https://www.opensecrets.org/members-of-congress/debbie-dingell/summary?cid=N00036149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd,Doggett,lloyd-doggett,https://www.opensecrets.org/members-of-congress/lloyd-doggett/summary?cid=N00006023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron,Donalds,byron-donalds,https://www.opensecrets.org/members-of-congress/byron-donalds/summary?cid=N00034016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy,Downing,troy-downing,https://www.opensecrets.org/members-of-congress/summary?cid=N00041283&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tammy,Duckworth,tammy-duckworth,https://www.opensecrets.org/members-of-congress/tammy-duckworth/summary?cid=N00027860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neal P.,Dunn,neal-p-dunn,https://www.opensecrets.org/members-of-congress/dunn-neal/summary?cid=N00037442&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard J.,Durbin,richard-j-durbin,https://www.opensecrets.org/members-of-congress/durbin-dick/summary?cid=N00004981&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck,Edwards,chuck-edwards,https://www.opensecrets.org/members-of-congress/chuck-edwards/summary?cid=N00049670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah,Elfreth,sarah-elfreth,https://www.opensecrets.org/members-of-congress/sarah-kelly-elfreth/summary?cid=N00053710&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake,Ellzey,jake-ellzey,https://www.opensecrets.org/members-of-congress/jake-ellzey/summary?cid=N00042243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom,Emmer,tom-emmer,https://www.opensecrets.org/members-of-congress/tom-emmer/summary?cid=N00035440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joni,Ernst,joni-ernst,https://www.opensecrets.org/members-of-congress/ernst-joni/summary?cid=N00035483&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica,Escobar,veronica-escobar,https://www.opensecrets.org/members-of-congress/veronica-escobar/summary?cid=N00041702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriano,Espaillat,adriano-espaillat,https://www.opensecrets.org/members-of-congress/adriano-espaillat/summary?cid=N00034549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron,Estes,ron-estes,https://www.opensecrets.org/members-of-congress/ron-estes/summary?cid=N00040712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight,Evans,dwight-evans,https://www.opensecrets.org/members-of-congress/dwight-evans/summary?cid=N00038450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabe,Evans,gabe-evans,https://www.opensecrets.org/members-of-congress/timothy-gabriel-joseph-evans/summary?cid=N00053312&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike,Ezell,mike-ezell,https://www.opensecrets.org/members-of-congress/mike-ezell/summary?cid=N00048240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat,Fallon,pat-fallon,https://www.opensecrets.org/members-of-congress/fallon-patrick/summary?cid=N00047264&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julie,Fedorchak,julie-fedorchak,https://www.opensecrets.org/members-of-congress/julie-fedorchak/summary?cid=N00054800&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy,Feenstra,randy-feenstra,https://www.opensecrets.org/members-of-congress/randy-feenstra/summary?cid=N00044011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,Fetterman,john-fetterman,https://www.opensecrets.org/members-of-congress/john-fetterman/summary?cid=N00038201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleo,Fields,cleo-fields,https://www.opensecrets.org/members-of-congress/cleo-fields/summary?cid=N00005398&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shomari,Figures,shomari-figures,https://www.opensecrets.org/members-of-congress/shomari-c-figures/summary?cid=N00053909&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy,Fine,randy-fine,https://www.opensecrets.org/officeholders/randy-fine/summary?cycle=2021&id=41676813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad,Finstad,brad-finstad,https://www.opensecrets.org/members-of-congress/brad-finstad/summary?cid=N00050649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
